,0
0,-9
1,1
2,1
3,1
4,4
5,-4
6,-7
7,-8
8,-13
9,-12
10,-13
11,-9
12,-14
13,-10
14,3
15,5
16,20
17,14
18,8
19,6
20,4
21,11
22,2
23,-8
24,-11
25,-9
26,-6
27,-1
28,0
29,-5
30,-7
31,4
32,6
33,7
34,4
35,1
36,-8
37,-12
38,-10
39,-11
40,-1
41,-2
42,1
43,-3
44,-2
45,8
46,7
47,11
48,6
49,-1
50,2
51,6
52,3
53,5
54,8
55,-1
56,-9
57,-10
58,-10
59,-10
60,-5
61,-4
62,-9
63,-9
64,-8
65,-6
66,-8
67,-4
68,2
69,-4
70,-3
71,-6
72,-6
73,-9
74,-5
75,2
76,-6
77,5
78,7
79,11
80,10
81,6
82,-5
83,-11
84,-6
85,-9
86,10
87,6
88,17
89,11
90,2
91,-1
92,-7
93,-5
94,-4
95,6
96,8
97,12
98,9
99,10
100,4
101,4
102,4
103,-6
104,-7
105,-10
106,-17
107,-15
108,-10
109,-13
110,-6
111,-4
112,-6
113,0
114,7
115,3
116,-4
117,-5
118,-12
119,-14
120,-7
121,-3
122,4
123,8
124,2
125,1
126,-2
127,-1
128,5
129,7
130,11
131,14
132,12
133,8
134,2
135,-5
136,-1
137,4
138,8
139,14
140,11
141,7
142,10
143,6
144,1
145,-3
146,-5
147,-4
148,1
149,6
150,1
151,0
152,0
153,-5
154,-7
155,-6
156,-8
157,1
158,-2
159,-4
160,-6
161,-13
162,-10
163,-9
164,-9
165,-6
166,1
167,6
168,8
169,-3
170,-6
171,-10
172,-10
173,0
174,-3
175,-3
176,-9
177,-11
178,-12
179,-10
180,-2
181,-6
182,-4
183,-2
184,-1
185,6
186,7
187,-12
188,-15
189,-15
190,-15
191,1
192,-3
193,1
194,0
195,-3
196,3
197,1
198,1
199,7
200,3
201,0
202,6
203,-2
204,0
205,0
206,-3
207,4
208,6
209,9
210,0
211,10
212,15
213,15
214,27
215,6
216,2
217,0
218,-5
219,4
220,3
221,2
222,1
223,-2
224,2
225,3
226,2
227,0
228,-9
229,-9
230,-6
231,-7
232,1
233,2
234,-2
235,-3
236,-7
237,-10
238,-6
239,2
240,-2
241,0
242,-3
243,-8
244,2
245,0
246,1
247,3
248,-4
249,-1
250,5
251,5
252,11
253,11
254,6
255,5
256,2
257,-4
258,-1
259,7
260,6
261,11
262,7
263,-1
264,-3
265,0
266,13
267,17
268,19
269,11
270,2
271,-4
272,-3
273,-3
274,-3
275,1
276,2
277,-2
278,-6
279,-11
280,-10
281,0
282,-1
283,3
284,3
285,-2
286,3
287,3
288,3
289,5
290,6
291,3
292,2
293,0
294,2
295,7
296,17
297,19
298,11
299,7
300,1
301,2
302,1
303,1
304,-3
305,-4
306,0
307,1
308,2
309,0
310,-5
311,-6
312,-1
313,-2
314,0
315,0
316,-4
317,-4
318,-3
319,-2
320,-2
321,-2
322,-2
323,-7
324,-5
325,-1
326,2
327,7
328,5
329,-7
330,-3
331,0
332,6
333,16
334,12
335,8
336,0
337,2
338,5
339,7
340,13
341,9
342,6
343,4
344,0
345,14
346,18
347,16
348,9
349,-1
350,-7
351,-6
352,5
353,-1
354,3
355,6
356,4
357,6
358,5
359,-1
360,-7
361,-4
362,-12
363,-11
364,-8
365,-10
366,-2
367,0
368,1
369,6
370,5
371,3
372,2
373,-1
374,-2
375,-2
376,1
377,2
378,2
379,6
380,3
381,0
382,-5
383,-6
384,-6
385,-3
386,0
387,0
388,2
389,1
390,7
391,-2
392,0
393,1
394,-1
395,4
396,-2
397,-5
398,-8
399,-1
400,1
401,-3
402,-3
403,-6
404,-3
405,-1
406,5
407,-3
408,-6
409,-3
410,-3
411,5
412,3
413,7
414,5
415,3
416,1
417,-3
418,-5
419,-4
420,1
421,1
422,-4
423,-3
424,-6
425,-6
426,-5
427,-6
428,-4
429,-4
430,2
431,7
432,6
433,8
434,2
435,1
436,0
437,4
438,7
439,5
440,5
441,1
442,-2
443,-2
444,-3
445,-6
446,-3
447,-4
448,-5
449,0
450,-6
451,-8
452,-4
453,-5
454,3
455,15
456,12
457,17
458,13
459,5
460,5
461,1
462,6
463,3
464,6
465,4
466,1
467,3
468,1
469,1
470,2
471,1
472,1
473,2
474,1
475,-1
476,-1
477,-3
478,-4
479,-4
480,6
481,9
482,14
483,18
484,8
485,7
486,4
487,1
488,1
489,-2
490,1
491,1
492,2
493,8
494,6
495,6
