,0
0,-7
1,-3
2,-2
3,-4
4,-4
5,-7
6,-9
7,-8
8,-11
9,-6
10,-5
11,2
12,2
13,3
14,10
15,6
16,11
17,4
18,1
19,-1
20,-1
21,5
22,0
23,-2
24,-4
25,-1
26,1
27,1
28,0
29,-4
30,-5
31,0
32,1
33,2
34,1
35,1
36,-2
37,1
38,0
39,-2
40,3
41,-1
42,1
43,-1
44,-1
45,3
46,4
47,8
48,2
49,1
50,0
51,3
52,5
53,4
54,7
55,1
56,0
57,-1
58,-1
59,-3
60,-4
61,-4
62,-8
63,-5
64,-3
65,-2
66,-2
67,1
68,2
69,1
70,3
71,0
72,-2
73,-6
74,-6
75,-1
76,-6
77,3
78,4
79,4
80,5
81,1
82,-3
83,-4
84,-2
85,-1
86,4
87,0
88,7
89,0
90,-7
91,-7
92,-13
93,-8
94,-3
95,1
96,11
97,11
98,8
99,5
100,-3
101,-3
102,0
103,-2
104,-1
105,-4
106,-10
107,-8
108,-5
109,-8
110,-4
111,-2
112,-5
113,1
114,3
115,0
116,0
117,-1
118,-5
119,-6
120,-4
121,-2
122,3
123,4
124,1
125,0
126,-3
127,-3
128,2
129,2
130,6
131,6
132,5
133,4
134,1
135,0
136,2
137,4
138,4
139,5
140,1
141,2
142,3
143,3
144,3
145,-3
146,0
147,-1
148,2
149,5
150,0
151,-1
152,0
153,-2
154,-4
155,-2
156,-5
157,0
158,-1
159,-3
160,-5
161,-9
162,-6
163,-3
164,-2
165,1
166,4
167,4
168,6
169,0
170,0
171,-4
172,-5
173,0
174,-3
175,-3
176,-4
177,-6
178,-5
179,-4
180,-2
181,-4
182,-4
183,-2
184,3
185,8
186,8
187,1
188,-9
189,-11
190,-10
191,-5
192,-2
193,1
194,1
195,-1
196,1
197,3
198,5
199,6
200,7
201,1
202,4
203,2
204,1
205,0
206,-6
207,-1
208,2
209,6
210,6
211,9
212,9
213,6
214,12
215,1
216,-1
217,0
218,-1
219,4
220,4
221,3
222,1
223,-2
224,3
225,4
226,4
227,2
228,-5
229,-6
230,-2
231,3
232,6
233,10
234,8
235,2
236,0
237,-3
238,-5
239,1
240,0
241,1
242,2
243,-3
244,1
245,1
246,0
247,3
248,-1
249,5
250,4
251,3
252,4
253,-1
254,0
255,1
256,-1
257,-3
258,-1
259,0
260,2
261,4
262,5
263,2
264,-1
265,0
266,1
267,3
268,3
269,3
270,2
271,-1
272,0
273,-1
274,-2
275,0
276,1
277,1
278,-1
279,-3
280,-5
281,-3
282,-3
283,1
284,3
285,2
286,4
287,8
288,7
289,5
290,6
291,-2
292,-3
293,-1
294,0
295,1
296,4
297,2
298,2
299,2
300,0
301,2
302,0
303,-2
304,-1
305,-2
306,0
307,2
308,3
309,1
310,-1
311,-3
312,-2
313,-2
314,-2
315,0
316,-1
317,1
318,3
319,2
320,2
321,1
322,0
323,-2
324,-3
325,-2
326,-1
327,3
328,-1
329,-1
330,-3
331,-1
332,3
333,1
334,3
335,0
336,0
337,3
338,2
339,5
340,7
341,7
342,6
343,4
344,0
345,7
346,20
347,17
348,19
349,8
350,0
351,0
352,-2
353,0
354,-1
355,0
356,8
357,7
358,10
359,10
360,1
361,2
362,-4
363,-4
364,-5
365,-5
366,0
367,1
368,5
369,6
370,3
371,2
372,-2
373,-2
374,0
375,2
376,5
377,5
378,1
379,3
380,2
381,1
382,0
383,-1
384,0
385,2
386,1
387,0
388,0
389,-2
390,3
391,0
392,-2
393,-2
394,-2
395,-1
396,-4
397,-4
398,-8
399,-3
400,-1
401,-1
402,0
403,-3
404,3
405,3
406,6
407,3
408,-2
409,1
410,2
411,4
412,8
413,1
414,-2
415,-2
416,-7
417,-2
418,-1
419,-3
420,0
421,2
422,-1
423,1
424,0
425,-4
426,-5
427,-2
428,-1
429,-2
430,1
431,0
432,0
433,2
434,0
435,-1
436,-1
437,1
438,5
439,4
440,6
441,7
442,3
443,5
444,1
445,-2
446,-2
447,-5
448,-3
449,-1
450,-2
451,-3
452,-3
453,-5
454,-1
455,3
456,4
457,5
458,5
459,5
460,5
461,3
462,9
463,5
464,7
465,7
466,0
467,3
468,2
469,1
470,1
471,0
472,-5
473,-4
474,-3
475,-5
476,-2
477,-2
478,-3
479,-2
480,-1
481,2
482,13
483,19
484,18
485,17
486,10
487,7
488,5
489,1
490,0
491,-2
492,-1
493,1
494,0
495,-1
