,0
0,-8
1,-5
2,-4
3,-4
4,-3
5,-7
6,-7
7,-7
8,-4
9,0
10,-3
11,0
12,0
13,1
14,6
15,5
16,8
17,6
18,3
19,2
20,0
21,1
22,0
23,-1
24,-3
25,-3
26,-1
27,1
28,1
29,-2
30,-3
31,-2
32,1
33,3
34,6
35,4
36,3
37,1
38,1
39,-1
40,-1
41,1
42,0
43,0
44,3
45,2
46,5
47,7
48,2
49,3
50,0
51,-1
52,0
53,1
54,3
55,3
56,4
57,2
58,1
59,0
60,2
61,6
62,4
63,2
64,-1
65,-3
66,-2
67,0
68,2
69,2
70,0
71,-2
72,-4
73,-8
74,-6
75,-2
76,-6
77,-4
78,-5
79,-3
80,-3
81,-5
82,-6
83,-8
84,-5
85,-3
86,0
87,-1
88,0
89,-12
90,-15
91,-16
92,-12
93,2
94,4
95,12
96,10
97,7
98,4
99,5
100,1
101,1
102,3
103,-4
104,-1
105,-2
106,-4
107,-3
108,-3
109,-2
110,-1
111,2
112,0
113,5
114,8
115,4
116,2
117,-1
118,-1
119,1
120,4
121,5
122,3
123,3
124,2
125,0
126,-1
127,2
128,5
129,5
130,6
131,2
132,1
133,3
134,2
135,-2
136,-1
137,1
138,2
139,7
140,4
141,2
142,0
143,-1
144,0
145,-2
146,-1
147,-2
148,-1
149,2
150,2
151,5
152,4
153,2
154,-1
155,-3
156,-3
157,-1
158,-3
159,-2
160,-4
161,-5
162,0
163,-2
164,-1
165,1
166,0
167,3
168,4
169,-4
170,-4
171,-6
172,-7
173,-1
174,-2
175,-2
176,-3
177,-8
178,-4
179,-3
180,0
181,3
182,-2
183,0
184,0
185,0
186,2
187,-2
188,-4
189,-2
190,-3
191,0
192,-3
193,-2
194,1
195,1
196,2
197,3
198,5
199,6
200,7
201,4
202,3
203,1
204,0
205,-3
206,-5
207,-3
208,-2
209,2
210,1
211,5
212,6
213,3
214,7
215,2
216,1
217,3
218,-1
219,1
220,3
221,2
222,1
223,-1
224,1
225,-6
226,-7
227,-8
228,-11
229,-4
230,-3
231,-1
232,1
233,1
234,0
235,-4
236,-5
237,-6
238,-5
239,0
240,-1
241,1
242,0
243,-2
244,0
245,-1
246,-1
247,1
248,-1
249,6
250,6
251,5
252,8
253,0
254,1
255,1
256,-1
257,-3
258,-1
259,1
260,3
261,5
262,4
263,2
264,2
265,4
266,4
267,4
268,2
269,1
270,0
271,-4
272,-3
273,-3
274,-2
275,0
276,2
277,1
278,0
279,0
280,-3
281,-2
282,-4
283,-3
284,-3
285,-3
286,-1
287,-2
288,0
289,1
290,0
291,1
292,-2
293,-3
294,-1
295,1
296,3
297,3
298,2
299,1
300,0
301,0
302,1
303,0
304,0
305,1
306,-1
307,1
308,2
309,1
310,1
311,-2
312,-1
313,0
314,-2
315,2
316,-1
317,-1
318,2
319,0
320,3
321,3
322,3
323,1
324,-2
325,-1
326,-2
327,-2
328,0
329,-2
330,-2
331,1
332,1
333,2
334,2
335,1
336,1
337,0
338,-1
339,-1
340,-1
341,-1
342,-1
343,-2
344,-3
345,-2
346,3
347,5
348,6
349,5
350,1
351,2
352,1
353,0
354,1
355,0
356,1
357,2
358,1
359,2
360,1
361,0
362,-1
363,-1
364,0
365,1
366,2
367,2
368,1
369,3
370,2
371,2
372,1
373,-2
374,-3
375,-2
376,0
377,3
378,4
379,4
380,3
381,3
382,2
383,1
384,2
385,2
386,2
387,1
388,0
389,-1
390,-2
391,-2
392,-1
393,-2
394,1
395,1
396,0
397,2
398,1
399,1
400,0
401,0
402,-3
403,-3
404,-3
405,-4
406,-1
407,-2
408,-2
409,0
410,1
411,2
412,3
413,2
414,0
415,1
416,0
417,1
418,3
419,2
420,2
421,2
422,0
423,1
424,1
425,0
426,0
427,-1
428,-1
429,-2
430,2
431,2
432,1
433,3
434,0
435,1
436,1
437,-2
438,-1
439,-2
440,-1
441,1
442,1
443,2
444,2
445,2
446,0
447,-3
448,-4
449,-4
450,-3
451,-1
452,-2
453,1
454,0
455,2
456,3
457,1
458,3
459,3
460,2
461,0
462,1
463,1
464,4
465,6
466,0
467,0
468,-2
469,-2
470,2
471,2
472,2
473,2
474,0
475,0
476,0
477,1
478,3
479,2
480,2
481,2
482,3
483,4
484,5
485,3
486,6
487,8
488,6
489,5
490,1
491,-1
492,0
493,3
494,2
495,1
