,0
0,1
1,-1
2,-1
3,-3
4,-3
5,-2
6,-2
7,-2
8,-2
9,-2
10,1
11,2
12,3
13,5
14,3
15,1
16,1
17,1
18,0
19,0
20,-1
21,-1
22,-1
23,-2
24,-3
25,-2
26,-1
27,-1
28,-1
29,-3
30,-3
31,-4
32,2
33,2
34,2
35,5
36,1
37,3
38,5
39,2
40,1
41,0
42,-2
43,2
44,4
45,3
46,4
47,2
48,0
49,0
50,-1
51,0
52,1
53,2
54,2
55,2
56,0
57,0
58,-1
59,-1
60,3
61,2
62,3
63,1
64,-1
65,-1
66,-1
67,-1
68,2
69,2
70,2
71,2
72,2
73,0
74,-1
75,1
76,-3
77,-3
78,-2
79,-2
80,-2
81,-1
82,-1
83,-2
84,0
85,1
86,0
87,1
88,2
89,-1
90,-2
91,-1
92,1
93,4
94,4
95,2
96,1
97,-1
98,-1
99,-1
100,-3
101,-2
102,0
103,0
104,-2
105,-2
106,-4
107,-5
108,-2
109,-1
110,-1
111,3
112,3
113,6
114,8
115,5
116,1
117,-1
118,-3
119,-1
120,1
121,1
122,1
123,-1
124,0
125,-1
126,-2
127,-1
128,0
129,-1
130,-2
131,-3
132,-4
133,-1
134,0
135,2
136,1
137,1
138,1
139,0
140,0
141,0
142,-2
143,-2
144,-2
145,-3
146,-1
147,-2
148,-3
149,-2
150,-2
151,0
152,1
153,2
154,1
155,0
156,0
157,-1
158,-2
159,-2
160,-2
161,-3
162,1
163,0
164,0
165,2
166,0
167,2
168,2
169,-2
170,0
171,0
172,1
173,3
174,0
175,-1
176,-1
177,0
178,0
179,1
180,0
181,-1
182,-1
183,-1
184,0
185,0
186,-1
187,-2
188,-3
189,-1
190,0
191,3
192,3
193,2
194,2
195,0
196,0
197,1
198,3
199,4
200,4
201,2
202,2
203,2
204,1
205,-1
206,-2
207,-1
208,0
209,2
210,1
211,2
212,-2
213,-1
214,0
215,-1
216,3
217,2
218,3
219,3
220,2
221,1
222,1
223,0
224,1
225,1
226,1
227,2
228,-1
229,-1
230,-1
231,-2
232,1
233,1
234,1
235,1
236,-1
237,-2
238,-2
239,0
240,1
241,1
242,1
243,-1
244,0
245,0
246,0
247,2
248,1
249,2
250,-1
251,-3
252,-2
253,-3
254,-1
255,-2
256,-3
257,-3
258,-3
259,-2
260,-1
261,0
262,0
263,0
264,-4
265,-4
266,-2
267,-2
268,2
269,0
270,-1
271,-1
272,-2
273,-1
274,0
275,-1
276,-1
277,-2
278,-1
279,-2
280,0
281,0
282,-3
283,-2
284,-3
285,-3
286,-2
287,-1
288,1
289,1
290,0
291,-2
292,-3
293,-1
294,1
295,2
296,2
297,0
298,0
299,0
300,-2
301,-1
302,-1
303,0
304,1
305,1
306,1
307,1
308,3
309,3
310,8
311,7
312,5
313,4
314,-1
315,1
316,1
317,1
318,-2
319,-2
320,-1
321,-2
322,2
323,2
324,-1
325,0
326,0
327,-1
328,1
329,0
330,-1
331,-1
332,-2
333,-1
334,0
335,-1
336,-1
337,-1
338,-1
339,-1
340,-1
341,0
342,-1
343,-1
344,0
345,-2
346,-2
347,-2
348,-1
349,0
350,2
351,3
352,2
353,3
354,2
355,1
356,1
357,1
358,1
359,2
360,3
361,2
362,1
363,1
364,1
365,0
366,0
367,-2
368,-1
369,1
370,0
371,0
372,-2
373,-4
374,-2
375,-3
376,-2
377,0
378,0
379,0
380,1
381,0
382,5
383,7
384,8
385,9
386,3
387,2
388,2
389,-3
390,-2
391,-2
392,-2
393,1
394,2
395,2
396,1
397,2
398,0
399,0
400,0
401,0
402,0
403,-1
404,-3
405,-4
406,-5
407,-4
408,0
409,0
410,1
411,0
412,-3
413,-2
414,-2
415,-3
416,-1
417,0
418,1
419,4
420,2
421,2
422,-1
423,-1
424,-1
425,-1
426,0
427,-1
428,-1
429,-2
430,-3
431,-2
432,-3
433,-2
434,-1
435,-1
436,1
437,2
438,2
439,2
440,-1
441,-1
442,-1
443,-1
444,0
445,-2
446,-3
447,-3
448,-3
449,-1
450,0
451,-3
452,-4
453,-3
454,-2
455,0
456,3
457,3
458,2
459,1
460,0
461,-3
462,-3
463,-2
464,-2
465,1
466,2
467,1
468,2
469,2
470,1
471,3
472,1
473,0
474,1
475,1
476,5
477,5
478,4
479,1
480,-2
481,-3
482,-2
483,-1
484,0
485,2
486,0
487,0
488,0
489,-2
490,0
491,0
492,0
493,2
494,1
495,1
