,0
0,-3
1,1
2,-1
3,-4
4,-6
5,-6
6,-4
7,-3
8,0
9,-3
10,-2
11,-2
12,-3
13,2
14,2
15,4
16,6
17,0
18,-1
19,-2
20,-4
21,-1
22,-1
23,-3
24,-2
25,1
26,3
27,3
28,2
29,-2
30,-3
31,1
32,4
33,5
34,5
35,5
36,3
37,5
38,5
39,2
40,2
41,1
42,2
43,3
44,5
45,4
46,7
47,7
48,5
49,3
50,0
51,0
52,0
53,2
54,1
55,1
56,-1
57,0
58,1
59,1
60,7
61,5
62,7
63,6
64,1
65,-2
66,-3
67,-3
68,-4
69,-3
70,-4
71,-7
72,-4
73,-3
74,-2
75,7
76,2
77,2
78,1
79,-1
80,0
81,3
82,0
83,-3
84,-2
85,-2
86,1
87,5
88,5
89,2
90,-2
91,0
92,0
93,4
94,7
95,5
96,7
97,2
98,1
99,-4
100,-7
101,-3
102,0
103,4
104,1
105,-2
106,-7
107,-7
108,-3
109,-3
110,0
111,2
112,5
113,9
114,12
115,10
116,4
117,3
118,0
119,-1
120,3
121,2
122,1
123,2
124,1
125,-2
126,-2
127,-1
128,0
129,-1
130,1
131,-1
132,-1
133,2
134,2
135,3
136,1
137,1
138,-1
139,-2
140,-3
141,-5
142,-7
143,-7
144,-6
145,-3
146,0
147,0
148,2
149,4
150,2
151,6
152,3
153,3
154,4
155,-1
156,1
157,0
158,-2
159,-2
160,-4
161,-7
162,-2
163,-3
164,0
165,3
166,2
167,5
168,3
169,-2
170,-2
171,-3
172,-2
173,0
174,-3
175,-4
176,1
177,2
178,2
179,5
180,8
181,6
182,5
183,3
184,-1
185,1
186,3
187,2
188,-2
189,-1
190,-3
191,2
192,2
193,2
194,3
195,-1
196,-1
197,2
198,4
199,7
200,9
201,5
202,3
203,3
204,-1
205,0
206,0
207,-1
208,4
209,3
210,0
211,3
212,-3
213,-3
214,-3
215,-4
216,3
217,2
218,3
219,2
220,0
221,1
222,1
223,1
224,3
225,1
226,2
227,1
228,-1
229,0
230,-1
231,-2
232,0
233,-4
234,-2
235,0
236,-2
237,0
238,-1
239,2
240,2
241,3
242,1
243,-1
244,0
245,-1
246,0
247,-1
248,-2
249,-1
250,-4
251,-3
252,0
253,-1
254,3
255,1
256,-2
257,-2
258,-4
259,-4
260,-2
261,0
262,1
263,0
264,-2
265,-2
266,-2
267,-3
268,0
269,-2
270,-1
271,3
272,1
273,2
274,3
275,2
276,-2
277,-5
278,-6
279,-6
280,-2
281,0
282,-2
283,-3
284,-5
285,-4
286,-2
287,1
288,2
289,-1
290,-1
291,0
292,-1
293,4
294,5
295,4
296,5
297,1
298,2
299,0
300,0
301,1
302,1
303,1
304,2
305,1
306,1
307,3
308,4
309,6
310,6
311,7
312,5
313,3
314,2
315,2
316,2
317,2
318,0
319,-1
320,0
321,3
322,4
323,4
324,0
325,1
326,3
327,5
328,7
329,10
330,8
331,5
332,7
333,-1
334,2
335,2
336,1
337,2
338,0
339,1
340,1
341,2
342,-1
343,-3
344,-3
345,-3
346,-2
347,1
348,1
349,2
350,4
351,4
352,3
353,0
354,1
355,0
356,1
357,2
358,0
359,2
360,1
361,1
362,1
363,1
364,2
365,0
366,3
367,0
368,1
369,4
370,-1
371,2
372,0
373,-4
374,-2
375,-6
376,-5
377,-4
378,-1
379,2
380,2
381,4
382,3
383,3
384,2
385,1
386,-2
387,-2
388,0
389,-1
390,0
391,0
392,-2
393,-1
394,0
395,15
396,17
397,16
398,16
399,3
400,4
401,5
402,2
403,2
404,1
405,1
406,3
407,0
408,1
409,0
410,0
411,0
412,0
413,1
414,1
415,2
416,3
417,5
418,7
419,7
420,4
421,1
422,-3
423,-5
424,-4
425,-4
426,-4
427,-4
428,-4
429,-3
430,0
431,-1
432,-3
433,-2
434,-4
435,-2
436,1
437,5
438,9
439,9
440,12
441,8
442,7
443,6
444,1
445,-1
446,-3
447,-5
448,-5
449,-2
450,-1
451,-3
452,-3
453,-5
454,-6
455,-2
456,4
457,0
458,7
459,8
460,7
461,4
462,0
463,2
464,-1
465,0
466,-1
467,-3
468,-2
469,1
470,1
471,2
472,-1
473,0
474,-1
475,-2
476,-1
477,-1
478,-1
479,0
480,1
481,2
482,-1
483,-1
484,2
485,-4
486,-2
487,-1
488,-3
489,-1
490,0
491,-2
492,-2
493,2
494,2
495,2
