,0
0,-3
1,-2
2,-1
3,0
4,2
5,0
6,-2
7,-1
8,-5
9,-5
10,-6
11,-5
12,-1
13,9
14,14
15,14
16,13
17,2
18,-1
19,-4
20,-6
21,-2
22,-2
23,-2
24,0
25,0
26,2
27,1
28,-1
29,-3
30,-6
31,-1
32,0
33,-2
34,-5
35,-7
36,-8
37,-8
38,-9
39,-9
40,-4
41,-2
42,4
43,5
44,2
45,6
46,7
47,7
48,3
49,1
50,-1
51,0
52,1
53,0
54,7
55,4
56,2
57,4
58,0
59,0
60,-1
61,-4
62,-4
63,-4
64,-2
65,2
66,2
67,3
68,5
69,3
70,2
71,-2
72,-3
73,-6
74,-1
75,8
76,2
77,4
78,-1
79,-3
80,-3
81,-3
82,-8
83,-12
84,-8
85,-7
86,1
87,1
88,4
89,5
90,0
91,2
92,3
93,1
94,4
95,4
96,3
97,5
98,4
99,4
100,0
101,1
102,2
103,0
104,-2
105,-7
106,-12
107,-11
108,-7
109,-8
110,-3
111,-1
112,-3
113,3
114,6
115,4
116,1
117,2
118,-5
119,-3
120,0
121,-1
122,3
123,2
124,2
125,1
126,0
127,1
128,3
129,3
130,5
131,5
132,4
133,4
134,1
135,0
136,-1
137,2
138,3
139,3
140,2
141,0
142,1
143,2
144,1
145,-2
146,-1
147,-2
148,1
149,4
150,2
151,1
152,1
153,-2
154,-4
155,-4
156,-5
157,-3
158,-4
159,-3
160,-4
161,-6
162,-2
163,-2
164,-1
165,1
166,1
167,4
168,4
169,-1
170,-1
171,-6
172,-7
173,-4
174,-4
175,-4
176,-5
177,-7
178,-7
179,-6
180,-3
181,-2
182,-2
183,1
184,4
185,6
186,5
187,2
188,-3
189,-6
190,-5
191,0
192,-1
193,3
194,6
195,1
196,3
197,2
198,2
199,5
200,8
201,6
202,8
203,5
204,4
205,0
206,-6
207,-3
208,-2
209,2
210,2
211,6
212,4
213,4
214,9
215,2
216,1
217,1
218,-2
219,1
220,2
221,2
222,2
223,-1
224,2
225,3
226,4
227,4
228,-2
229,-4
230,-2
231,-2
232,3
233,3
234,2
235,-1
236,-3
237,-4
238,-4
239,0
240,-1
241,1
242,1
243,-1
244,2
245,1
246,0
247,4
248,1
249,6
250,7
251,5
252,8
253,3
254,1
255,1
256,-2
257,-3
258,0
259,1
260,3
261,4
262,0
263,-1
264,-2
265,-3
266,-1
267,0
268,1
269,1
270,0
271,-1
272,-1
273,-2
274,-1
275,0
276,0
277,0
278,-3
279,-4
280,-4
281,-3
282,-2
283,0
284,0
285,-1
286,1
287,2
288,3
289,2
290,1
291,-2
292,-5
293,-4
294,-2
295,-2
296,0
297,1
298,-1
299,2
300,1
301,1
302,1
303,0
304,1
305,1
306,2
307,2
308,3
309,1
310,1
311,0
312,-2
313,0
314,-1
315,2
316,3
317,2
318,3
319,1
320,1
321,1
322,1
323,-1
324,-2
325,0
326,1
327,3
328,3
329,0
330,-1
331,1
332,3
333,2
334,2
335,0
336,-1
337,0
338,-1
339,1
340,3
341,1
342,1
343,-3
344,-6
345,-4
346,-3
347,-2
348,-1
349,0
350,0
351,1
352,4
353,0
354,-2
355,0
356,-1
357,0
358,2
359,3
360,0
361,1
362,0
363,0
364,1
365,1
366,2
367,1
368,2
369,4
370,3
371,4
372,2
373,-1
374,0
375,1
376,2
377,3
378,3
379,1
380,-1
381,-1
382,-1
383,-1
384,2
385,1
386,1
387,-1
388,-3
389,-2
390,-1
391,-1
392,0
393,-1
394,0
395,1
396,0
397,1
398,0
399,1
400,0
401,-1
402,-1
403,-2
404,0
405,1
406,2
407,1
408,2
409,2
410,3
411,4
412,2
413,2
414,0
415,0
416,0
417,0
418,1
419,1
420,0
421,0
422,-1
423,0
424,-1
425,-1
426,-3
427,-4
428,-3
429,-4
430,-2
431,-1
432,-2
433,0
434,-1
435,-1
436,0
437,1
438,1
439,2
440,1
441,0
442,1
443,0
444,0
445,-2
446,-3
447,-4
448,-5
449,-2
450,0
451,-5
452,-5
453,-4
454,-3
455,4
456,5
457,4
458,3
459,3
460,2
461,0
462,2
463,1
464,2
465,2
466,1
467,2
468,2
469,3
470,3
471,3
472,1
473,0
474,0
475,0
476,1
477,0
478,0
479,-1
480,0
481,1
482,2
483,3
484,3
485,2
486,1
487,1
488,0
489,0
490,1
491,0
492,0
493,1
494,1
495,1
