,0
0,7
1,4
2,3
3,1
4,-1
5,0
6,0
7,-1
8,-2
9,-3
10,-2
11,-2
12,1
13,3
14,3
15,4
16,2
17,-2
18,-4
19,-5
20,-6
21,-3
22,-3
23,-1
24,-1
25,2
26,1
27,0
28,0
29,-2
30,-2
31,-4
32,0
33,1
34,1
35,4
36,1
37,2
38,2
39,0
40,1
41,0
42,1
43,2
44,2
45,1
46,2
47,2
48,1
49,2
50,1
51,2
52,3
53,2
54,2
55,2
56,1
57,3
58,2
59,2
60,4
61,4
62,5
63,3
64,1
65,-1
66,-1
67,-1
68,0
69,0
70,-1
71,-2
72,0
73,-2
74,-2
75,5
76,4
77,4
78,3
79,0
80,-1
81,1
82,1
83,-1
84,1
85,3
86,3
87,5
88,4
89,1
90,2
91,1
92,1
93,3
94,2
95,-1
96,-1
97,-3
98,-3
99,-2
100,-3
101,-2
102,-1
103,-1
104,-2
105,-3
106,-6
107,-5
108,-3
109,-2
110,0
111,4
112,5
113,8
114,10
115,7
116,3
117,1
118,-2
119,-2
120,1
121,1
122,2
123,0
124,2
125,1
126,1
127,1
128,1
129,-1
130,-2
131,-5
132,-5
133,-2
134,-2
135,2
136,1
137,0
138,-1
139,-3
140,-4
141,-3
142,-3
143,-1
144,1
145,2
146,3
147,2
148,3
149,1
150,2
151,2
152,0
153,2
154,1
155,-1
156,-2
157,-2
158,-2
159,-3
160,-3
161,-5
162,-2
163,-2
164,-1
165,2
166,0
167,1
168,2
169,-1
170,0
171,0
172,0
173,1
174,-1
175,-3
176,0
177,0
178,0
179,2
180,-1
181,0
182,0
183,2
184,2
185,2
186,2
187,0
188,2
189,3
190,3
191,6
192,2
193,3
194,5
195,1
196,1
197,2
198,3
199,5
200,6
201,4
202,3
203,4
204,1
205,0
206,-2
207,-2
208,0
209,2
210,3
211,3
212,-2
213,-1
214,-2
215,-2
216,4
217,4
218,6
219,7
220,4
221,3
222,3
223,2
224,3
225,2
226,1
227,1
228,-1
229,0
230,1
231,-1
232,0
233,1
234,1
235,1
236,1
237,-1
238,-2
239,1
240,2
241,2
242,2
243,0
244,0
245,-1
246,-1
247,1
248,3
249,4
250,-1
251,-1
252,-2
253,-3
254,2
255,0
256,-2
257,-2
258,-2
259,-1
260,0
261,-1
262,-3
263,-4
264,-2
265,-1
266,0
267,-2
268,-3
269,-3
270,-1
271,3
272,4
273,4
274,4
275,2
276,1
277,-2
278,0
279,0
280,1
281,4
282,0
283,0
284,-3
285,-4
286,-3
287,-2
288,5
289,4
290,1
291,1
292,-3
293,-5
294,-1
295,1
296,0
297,-1
298,-1
299,-2
300,-3
301,0
302,-1
303,1
304,1
305,1
306,1
307,-1
308,3
309,4
310,6
311,6
312,3
313,3
314,2
315,3
316,2
317,2
318,1
319,-1
320,-1
321,0
322,1
323,2
324,-1
325,0
326,0
327,0
328,4
329,3
330,2
331,1
332,0
333,-1
334,0
335,0
336,-1
337,-1
338,-2
339,-2
340,-3
341,-1
342,-1
343,-1
344,0
345,-3
346,-3
347,-4
348,-3
349,-1
350,1
351,4
352,0
353,-2
354,-2
355,-2
356,0
357,1
358,-1
359,-1
360,0
361,1
362,2
363,4
364,5
365,3
366,2
367,-1
368,-1
369,2
370,1
371,1
372,-2
373,-6
374,-4
375,-4
376,-4
377,-2
378,-2
379,-3
380,-1
381,0
382,1
383,5
384,3
385,1
386,-1
387,-5
388,-2
389,-1
390,-2
391,0
392,-1
393,-2
394,1
395,1
396,0
397,1
398,1
399,2
400,2
401,3
402,1
403,0
404,1
405,-1
406,2
407,0
408,1
409,2
410,-1
411,1
412,-1
413,1
414,-2
415,-3
416,-1
417,-1
418,1
419,2
420,0
421,0
422,0
423,0
424,0
425,-1
426,-1
427,-1
428,-1
429,-2
430,-3
431,-2
432,-3
433,-3
434,-2
435,-2
436,1
437,1
438,3
439,1
440,0
441,0
442,0
443,1
444,1
445,-2
446,-3
447,-1
448,-1
449,1
450,3
451,3
452,-1
453,0
454,-1
455,-3
456,0
457,1
458,2
459,1
460,2
461,-1
462,-3
463,-1
464,-2
465,-1
466,1
467,-1
468,0
469,1
470,0
471,0
472,-1
473,-2
474,-1
475,1
476,2
477,5
478,5
479,3
480,0
481,-1
482,-2
483,-1
484,3
485,3
486,1
487,2
488,0
489,0
490,1
491,2
492,1
493,2
494,2
495,1
