,0
0,-2
1,-3
2,-2
3,-3
4,0
5,-1
6,2
7,3
8,2
9,3
10,-1
11,-2
12,-2
13,0
14,1
15,1
16,2
17,2
18,1
19,0
20,-2
21,-3
22,-3
23,-3
24,-2
25,-2
26,1
27,2
28,2
29,1
30,-1
31,-5
32,-1
33,-1
34,-2
35,1
36,-2
37,0
38,0
39,-5
40,-4
41,-7
42,-6
43,-1
44,1
45,3
46,5
47,4
48,0
49,1
50,0
51,1
52,1
53,1
54,3
55,2
56,0
57,1
58,-1
59,0
60,3
61,2
62,4
63,3
64,1
65,0
66,-1
67,-2
68,0
69,3
70,3
71,3
72,3
73,-2
74,-2
75,1
76,-1
77,-1
78,-2
79,-4
80,-4
81,-1
82,0
83,-2
84,-1
85,-3
86,-1
87,0
88,1
89,-5
90,-8
91,-9
92,-6
93,2
94,2
95,3
96,3
97,0
98,0
99,0
100,-2
101,-2
102,1
103,-1
104,-2
105,-2
106,-6
107,-8
108,-7
109,-6
110,-4
111,2
112,5
113,7
114,9
115,5
116,2
117,0
118,0
119,2
120,3
121,3
122,2
123,-1
124,1
125,-1
126,0
127,0
128,-1
129,-1
130,-1
131,-3
132,-2
133,0
134,1
135,3
136,3
137,4
138,-4
139,-1
140,-3
141,-2
142,4
143,1
144,2
145,0
146,1
147,0
148,1
149,3
150,2
151,3
152,2
153,1
154,0
155,-2
156,-3
157,-3
158,-5
159,-3
160,-4
161,-5
162,-2
163,-3
164,-3
165,0
166,-1
167,2
168,4
169,0
170,0
171,-2
172,-2
173,0
174,-1
175,-1
176,-2
177,-2
178,-1
179,-3
180,-3
181,-5
182,-7
183,-3
184,-1
185,0
186,0
187,-3
188,-5
189,-4
190,-2
191,2
192,1
193,3
194,3
195,3
196,2
197,2
198,1
199,2
200,4
201,3
202,5
203,3
204,2
205,1
206,-2
207,0
208,1
209,3
210,3
211,5
212,3
213,3
214,3
215,0
216,0
217,1
218,3
219,3
220,4
221,3
222,2
223,0
224,2
225,2
226,3
227,2
228,0
229,1
230,0
231,1
232,2
233,1
234,1
235,0
236,-1
237,-1
238,-2
239,0
240,1
241,1
242,2
243,0
244,0
245,-1
246,-2
247,0
248,-1
249,2
250,0
251,0
252,0
253,-3
254,-1
255,-1
256,-3
257,-4
258,-5
259,-6
260,-3
261,0
262,-1
263,0
264,-1
265,0
266,1
267,1
268,1
269,-1
270,-2
271,-3
272,-4
273,-2
274,0
275,1
276,1
277,-1
278,0
279,0
280,1
281,2
282,-1
283,-1
284,-2
285,-2
286,0
287,1
288,2
289,0
290,-2
291,-3
292,-2
293,0
294,2
295,4
296,4
297,3
298,4
299,2
300,1
301,1
302,1
303,1
304,2
305,2
306,0
307,2
308,2
309,2
310,3
311,2
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,4
322,4
323,4
324,2
325,0
326,0
327,0
328,1
329,0
330,-1
331,0
332,-1
333,-2
334,-1
335,-1
336,0
337,1
338,1
339,0
340,-2
341,-2
342,-4
343,-5
344,-4
345,-5
346,-3
347,-3
348,-3
349,-1
350,1
351,2
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,3
361,2
362,2
363,1
364,-1
365,0
366,0
367,0
368,1
369,2
370,2
371,1
372,2
373,-2
374,-2
375,-3
376,-2
377,0
378,1
379,1
380,0
381,1
382,1
383,3
384,3
385,3
386,2
387,-1
388,2
389,2
390,2
391,3
392,0
393,-1
394,0
395,0
396,0
397,1
398,0
399,-1
400,-1
401,-2
402,-3
403,-2
404,-2
405,-1
406,1
407,0
408,1
409,1
410,0
411,1
412,1
413,0
414,-1
415,-1
416,0
417,-1
418,2
419,0
420,0
421,1
422,-1
423,1
424,0
425,-1
426,-1
427,-2
428,-2
429,-3
430,-3
431,-3
432,-3
433,-3
434,-1
435,0
436,-1
437,-1
438,-1
439,-1
440,-1
441,-1
442,1
443,1
444,2
445,5
446,3
447,2
448,2
449,1
450,2
451,1
452,-1
453,0
454,0
455,0
456,3
457,1
458,1
459,1
460,-1
461,0
462,0
463,1
464,1
465,1
466,1
467,-1
468,-1
469,-1
470,-1
471,0
472,1
473,2
474,0
475,1
476,1
477,0
478,-3
479,-4
480,-4
481,-5
482,-1
483,0
484,1
485,0
486,-1
487,0
488,-2
489,-1
490,0
491,-1
492,0
493,1
494,1
495,1
