,0
0,-8
1,-2
2,4
3,0
4,-1
5,-3
6,-10
7,-3
8,-10
9,-10
10,-8
11,-6
12,-12
13,-9
14,2
15,-1
16,9
17,5
18,-1
19,-3
20,2
21,5
22,-2
23,-5
24,-5
25,-1
26,2
27,2
28,-2
29,-11
30,-17
31,-9
32,-5
33,6
34,13
35,10
36,4
37,-4
38,-7
39,-6
40,2
41,0
42,-1
43,-7
44,-7
45,0
46,10
47,18
48,15
49,18
50,15
51,12
52,10
53,10
54,10
55,8
56,7
57,-1
58,4
59,0
60,-3
61,-3
62,-10
63,-11
64,-6
65,-3
66,-4
67,3
68,4
69,-4
70,2
71,0
72,-3
73,-10
74,-13
75,-13
76,-13
77,3
78,3
79,9
80,0
81,-4
82,-13
83,-16
84,-16
85,-16
86,-2
87,-9
88,4
89,-3
90,-8
91,-8
92,-11
93,-12
94,-7
95,7
96,13
97,21
98,12
99,10
100,-7
101,-6
102,-3
103,-6
104,2
105,-3
106,-10
107,-9
108,-3
109,-8
110,0
111,7
112,1
113,10
114,13
115,3
116,-1
117,-3
118,-9
119,-7
120,0
121,1
122,9
123,10
124,1
125,1
126,-3
127,-5
128,2
129,3
130,4
131,4
132,13
133,13
134,9
135,5
136,1
137,3
138,11
139,15
140,9
141,9
142,4
143,-3
144,-3
145,-8
146,-5
147,-1
148,3
149,9
150,4
151,6
152,1
153,-4
154,-5
155,-2
156,-2
157,0
158,-1
159,-4
160,-7
161,-7
162,-4
163,-5
164,-1
165,3
166,4
167,11
168,11
169,3
170,5
171,1
172,0
173,6
174,2
175,-1
176,-5
177,-11
178,-11
179,-6
180,0
181,-3
182,-4
183,-14
184,-13
185,-10
186,-10
187,-8
188,-11
189,-10
190,-9
191,-1
192,-8
193,1
194,1
195,0
196,1
197,-2
198,-4
199,0
200,8
201,5
202,8
203,2
204,1
205,-4
206,-6
207,-9
208,-13
209,-11
210,-18
211,-8
212,-1
213,0
214,9
215,-2
216,-7
217,-6
218,-14
219,-9
220,0
221,1
222,9
223,6
224,6
225,6
226,7
227,1
228,-8
229,-11
230,-11
231,-2
232,-7
233,-8
234,-10
235,-12
236,-10
237,-7
238,-12
239,-13
240,-17
241,-18
242,-21
243,-18
244,-3
245,0
246,-1
247,1
248,-9
249,-8
250,11
251,5
252,12
253,9
254,2
255,11
256,5
257,3
258,9
259,9
260,12
261,14
262,20
263,24
264,16
265,20
266,13
267,6
268,14
269,12
270,8
271,7
272,9
273,1
274,-1
275,4
276,3
277,3
278,7
279,-6
280,-6
281,0
282,-5
283,5
284,2
285,0
286,-3
287,-5
288,-6
289,-7
290,-5
291,-13
292,-11
293,-7
294,1
295,4
296,6
297,3
298,0
299,9
300,4
301,7
302,4
303,-3
304,-1
305,1
306,3
307,8
308,3
309,-1
310,-5
311,-11
312,-5
313,-3
314,-3
315,0
316,0
317,0
318,2
319,-3
320,-12
321,-12
322,-12
323,-11
324,-6
325,-3
326,1
327,1
328,4
329,0
330,-2
331,5
332,7
333,5
334,5
335,1
336,-2
337,-2
338,-1
339,1
340,5
341,8
342,13
343,7
344,3
345,2
346,2
347,8
348,11
349,12
350,11
351,8
352,9
353,8
354,10
355,12
356,13
357,15
358,9
359,5
360,4
361,6
362,1
363,3
364,-2
365,-12
366,-4
367,-3
368,0
369,9
370,12
371,10
372,7
373,5
374,-4
375,-4
376,-2
377,1
378,4
379,8
380,8
381,5
382,-7
383,-10
384,-8
385,-9
386,1
387,-2
388,-1
389,1
390,-1
391,-1
392,-3
393,-5
394,-4
395,-2
396,-7
397,-3
398,-3
399,-4
400,-4
401,-8
402,-10
403,-10
404,-1
405,3
406,8
407,7
408,3
409,2
410,9
411,12
412,8
413,3
414,0
415,-2
416,-3
417,1
418,7
419,6
420,8
421,11
422,0
423,-1
424,-2
425,-5
426,-7
427,-8
428,-7
429,-7
430,-6
431,1
432,1
433,3
434,3
435,6
436,4
437,4
438,5
439,1
440,1
441,-1
442,-3
443,-4
444,-3
445,-6
446,-12
447,-17
448,-17
449,-11
450,-3
451,-3
452,-2
453,-9
454,-5
455,0
456,5
457,11
458,9
459,8
460,2
461,-5
462,-2
463,1
464,7
465,16
466,9
467,5
468,-1
469,-1
470,0
471,0
472,0
473,2
474,4
475,2
476,1
477,-5
478,-2
479,0
480,2
481,4
482,0
483,-1
484,-1
485,3
486,6
487,6
488,7
489,-2
490,0
491,0
492,0
493,6
494,-1
495,-2
