,0
0,526.09
1,521.63
2,517.13
3,517.56
4,516.61
5,515.79
6,513.06
7,512.08
8,512.24
9,513.83
10,514.87
11,514.66
12,514.41
13,514.1
14,515.05
15,515.22
16,514.58
17,512.34
18,510.75
19,507.53
20,502.82
21,496.29
22,488.75
23,482.71
24,475.71
25,472.1
26,468.29
27,463.78
28,461.42
29,461.19
30,459.94
31,457.66
32,454.35
33,452.17
34,452.86
35,452.91
36,451.82
37,447.46
38,443.8
39,441.69
40,439.83
41,438.34
42,437.89
43,439.08
44,437.82
45,437.87
46,436.27
47,437.19
48,441.35
49,445.4
50,448.23
51,449.55
52,451.59
53,452.03
54,451.25
55,450.11
56,451.98
57,452.17
58,451.77
59,450.24
60,446.41
61,443.53
62,441.93
63,439.42
64,435.15
65,430.99
66,428.45
67,423.99
68,420.04
69,418.04
70,415.47
71,413.44
72,412.37
73,412.19
74,409.2
75,406.11
76,402.73
77,401.43
78,398.54
79,397.66
80,398.29
81,397.65
82,398.79
83,398.0
84,396.9
85,394.88
86,395.4
87,396.02
88,398.15
89,399.45
90,403.52
91,405.86
92,406.92
93,410.12
94,411.79
95,414.43
96,417.68
97,420.16
98,421.8
99,421.41
100,418.84
101,415.7
102,411.42
103,407.14
104,402.36
105,395.83
106,390.46
107,386.06
108,382.25
109,378.27
110,373.21
111,371.1
112,370.63
113,370.43
114,370.4
115,371.88
116,374.39
117,376.59
118,378.16
119,378.07
120,376.75
121,376.08
122,377.26
123,377.82
124,379.64
125,382.39
126,385.09
127,386.68
128,386.77
129,385.92
130,386.64
131,388.97
132,392.15
133,395.33
134,397.84
135,401.94
136,405.51
137,408.17
138,410.29
139,412.34
140,416.21
141,420.85
142,425.26
143,429.22
144,432.34
145,434.57
146,436.99
147,437.03
148,435.43
149,433.51
150,431.12
151,429.23
152,424.45
153,419.48
154,413.6
155,407.13
156,400.71
157,394.91
158,389.01
159,385.23
160,382.93
161,381.62
162,380.85
163,377.89
164,377.1
165,371.58
166,365.29
167,358.84
168,352.22
169,345.4
170,338.63
171,330.7
172,321.81
173,312.04
174,302.46
175,294.95
176,286.92
177,284.93
178,284.55
179,284.66
180,285.28
181,285.48
182,285.37
183,285.39
184,286.16
185,287.59
186,288.13
187,289.4
188,290.89
189,292.1
190,292.72
191,293.47
192,294.95
193,297.87
194,300.77
195,303.59
196,306.88
197,308.86
198,311.2
199,311.84
200,311.26
201,310.08
202,309.85
203,309.5
204,308.05
205,308.56
206,310.29
207,312.1
208,313.79
209,315.44
210,317.26
211,319.73
212,322.7
213,326.46
214,329.48
215,332.15
216,334.66
217,334.4
218,334.71
219,335.03
220,334.66
221,334.3
222,333.74
223,333.39
224,334.31
225,334.3
226,334.49
227,335.17
228,336.09
229,336.25
230,335.71
231,334.44
232,334.16
233,334.77
234,335.21
235,336.2
236,336.41
237,336.21
238,336.16
239,335.67
240,335.42
241,336.48
242,335.64
243,335.97
244,336.28
245,336.06
246,336.59
247,337.1
248,337.87
249,339.21
250,339.52
251,340.02
252,341.64
253,343.61
254,346.35
255,348.47
256,350.45
257,353.12
258,354.83
259,356.98
260,360.27
261,364.26
262,367.43
263,370.15
264,372.44
265,373.56
266,374.76
267,375.83
268,376.6
269,377.2
270,378.24
271,377.81
272,375.55
273,371.76
274,369.21
275,366.86
276,361.58
277,356.91
278,352.59
279,348.62
280,345.16
281,342.34
282,339.93
283,338.24
284,337.32
285,336.62
286,335.01
287,333.11
288,334.18
289,335.12
290,337.56
291,340.46
292,342.91
293,345.42
294,346.65
295,348.66
296,351.09
297,353.99
298,357.66
299,362.24
300,366.29
301,370.6
302,372.83
303,375.08
304,376.68
305,377.21
306,378.42
307,378.6
308,378.17
309,378.64
310,379.14
311,379.04
312,378.68
313,378.24
314,378.25
315,377.63
316,377.24
317,376.32
318,375.22
319,375.25
320,375.89
321,375.5
322,374.61
323,371.88
324,368.41
325,365.77
326,362.75
327,359.83
328,357.05
329,354.72
330,352.42
331,350.27
332,347.57
333,346.11
334,345.42
335,347.59
336,350.61
337,352.44
338,354.25
339,358.37
340,364.32
341,370.62
342,377.48
343,384.24
344,391.84
345,398.31
346,404.34
347,408.27
348,413.85
349,420.81
350,429.88
351,437.13
352,442.47
353,448.62
354,455.06
355,459.99
356,463.42
357,467.03
358,471.35
359,476.45
360,480.64
361,483.01
362,483.77
363,484.6
364,485.08
365,484.77
366,483.61
367,483.56
368,485.14
369,487.4
370,489.29
371,492.44
372,494.56
373,497.86
374,501.9
375,505.08
376,507.72
377,510.47
378,514.02
379,517.36
380,518.87
381,519.64
382,521.43
383,523.84
384,526.7
385,527.39
386,526.68
387,526.66
388,527.73
389,527.76
390,526.92
391,526.13
392,525.62
393,526.31
394,525.46
395,522.82
396,519.7
397,517.86
398,517.58
399,516.97
400,517.05
401,516.37
402,517.31
403,518.48
404,521.16
405,523.08
406,526.47
407,530.53
408,534.96
409,539.45
410,542.78
411,546.19
412,549.0
413,551.48
414,553.86
415,555.71
416,554.74
417,553.66
418,552.19
419,549.9
420,545.65
421,541.57
422,537.5
423,532.99
424,527.83
425,524.7
426,521.07
427,518.48
428,516.66
429,515.49
430,513.39
431,512.63
432,513.91
433,515.56
434,518.76
435,523.2
436,527.05
437,530.89
438,535.07
439,538.13
440,542.19
441,544.07
442,546.07
443,547.14
444,546.46
445,544.92
446,541.44
447,538.72
448,537.33
449,536.81
450,536.69
451,537.17
452,537.98
453,541.67
454,545.41
455,548.59
456,554.93
457,561.27
458,569.29
459,574.99
460,580.82
461,585.67
462,590.16
463,594.11
464,598.63
465,601.48
466,604.31
467,608.11
468,609.79
469,611.52
470,612.19
471,612.97
472,612.98
473,612.4
474,612.07
475,611.99
476,612.45
477,613.63
478,614.05
479,610.82
480,608.1
481,607.11
482,606.46
483,605.75
484,605.57
485,605.83
486,604.95
487,603.79
488,601.32
489,598.23
