,0
0,136.3
1,133.94
2,131.81
3,130.17
4,128.08
5,126.31
6,123.86
7,121.18
8,119.25
9,117.92
10,116.74
11,115.75
12,115.36
13,115.51
14,116.3
15,117.66
16,118.88
17,119.08
18,120.06
19,121.41
20,121.7
21,121.33
22,120.58
23,120.21
24,119.06
25,118.47
26,117.88
27,117.08
28,116.09
29,116.51
30,116.32
31,115.23
32,114.01
33,113.44
34,113.2
35,112.44
36,111.98
37,110.79
38,109.81
39,109.14
40,108.97
41,108.56
42,108.89
43,109.42
44,110.34
45,111.59
46,112.31
47,113.45
48,115.03
49,116.45
50,116.45
51,115.85
52,115.75
53,115.2
54,114.18
55,113.26
56,112.18
57,110.25
58,108.2
59,106.33
60,103.81
61,101.7
62,100.67
63,99.49
64,97.76
65,96.21
66,95.13
67,93.58
68,92.24
69,91.59
70,90.8
71,90.14
72,89.98
73,90.44
74,90.18
75,90.29
76,90.0
77,90.05
78,89.82
79,89.98
80,90.83
81,91.21
82,92.62
83,93.16
84,93.62
85,93.13
86,93.23
87,92.88
88,93.41
89,94.24
90,95.44
91,96.67
92,97.18
93,98.37
94,98.69
95,99.47
96,100.19
97,100.89
98,101.2
99,101.51
100,101.04
101,100.06
102,98.98
103,97.32
104,95.69
105,93.62
106,91.74
107,89.81
108,88.29
109,86.98
110,85.48
111,84.07
112,83.2
113,82.09
114,80.91
115,80.35
116,80.16
117,79.79
118,79.23
119,78.72
120,77.92
121,77.3
122,77.32
123,77.61
124,78.39
125,79.71
126,81.03
127,82.09
128,82.78
129,83.27
130,84.34
131,85.62
132,87.03
133,88.55
134,90.06
135,91.45
136,92.95
137,94.03
138,94.77
139,95.39
140,96.35
141,97.43
142,98.34
143,99.12
144,99.6
145,99.72
146,99.82
147,99.64
148,98.72
149,97.9
150,97.29
151,97.43
152,96.77
153,95.97
154,94.81
155,93.46
156,91.98
157,90.47
158,88.66
159,87.3
160,86.46
161,85.88
162,85.2
163,83.52
164,82.38
165,81.39
166,80.52
167,79.85
168,79.26
169,78.78
170,78.01
171,77.04
172,75.67
173,74.14
174,72.79
175,71.71
176,70.54
177,69.66
178,68.94
179,68.21
180,67.59
181,66.25
182,65.28
183,64.42
184,63.71
185,63.03
186,61.99
187,61.48
188,61.02
189,60.28
190,59.44
191,58.68
192,57.92
193,58.17
194,58.33
195,58.41
196,58.76
197,58.85
198,59.16
199,59.22
200,59.4
201,59.81
202,60.25
203,60.67
204,60.78
205,61.36
206,62.41
207,63.66
208,64.85
209,65.91
210,67.09
211,68.34
212,69.37
213,70.46
214,71.57
215,72.51
216,73.61
217,74.02
218,74.46
219,74.79
220,74.67
221,74.75
222,74.45
223,74.16
224,74.0
225,73.44
226,72.96
227,72.67
228,72.32
229,71.75
230,70.73
231,69.65
232,68.83
233,68.33
234,67.8
235,67.33
236,66.73
237,66.23
238,65.74
239,65.17
240,64.76
241,64.6
242,64.34
243,64.29
244,64.47
245,64.51
246,64.94
247,65.46
248,66.11
249,66.86
250,67.33
251,67.58
252,68.08
253,69.07
254,70.1
255,71.02
256,71.68
257,72.29
258,72.57
259,72.93
260,74.07
261,75.46
262,76.76
263,78.09
264,79.41
265,80.09
266,80.8
267,81.35
268,82.01
269,82.89
270,83.95
271,84.36
272,83.85
273,82.89
274,82.1
275,81.77
276,81.12
277,80.63
278,80.24
279,79.98
280,79.75
281,79.38
282,79.05
283,79.22
284,79.79
285,80.39
286,80.9
287,81.09
288,81.87
289,82.78
290,84.28
291,85.91
292,87.27
293,88.47
294,89.84
295,91.35
296,92.4
297,93.45
298,94.44
299,95.62
300,96.48
301,97.18
302,97.17
303,97.01
304,96.66
305,96.37
306,96.19
307,95.67
308,95.2
309,94.83
310,94.59
311,94.08
312,93.4
313,92.73
314,92.19
315,91.57
316,91.15
317,90.43
318,89.64
319,89.09
320,88.84
321,88.64
322,88.49
323,87.8
324,87.54
325,87.53
326,87.94
327,88.49
328,89.28
329,90.39
330,91.16
331,91.99
332,93.0
333,94.17
334,95.68
335,97.69
336,99.48
337,101.0
338,102.1
339,104.21
340,106.71
341,109.06
342,110.97
343,112.81
344,114.17
345,115.36
346,116.71
347,117.71
348,118.8
349,120.2
350,121.94
351,122.29
352,122.32
353,122.23
354,122.39
355,122.34
356,121.86
357,121.26
358,120.08
359,119.22
360,118.33
361,117.1
362,115.6
363,114.72
364,113.76
365,112.9
366,112.35
367,111.87
368,111.99
369,112.05
370,112.43
371,113.13
372,113.59
373,114.27
374,114.83
375,115.04
376,114.57
377,114.32
378,114.08
379,114.07
380,113.78
381,113.76
382,113.62
383,113.5
384,113.64
385,112.89
386,112.49
387,112.44
388,112.99
389,113.18
390,113.17
391,112.93
392,112.72
393,112.8
394,112.66
395,112.06
396,110.97
397,110.64
398,110.23
399,109.38
400,108.77
401,107.82
402,107.13
403,106.5
404,106.36
405,105.91
406,105.44
407,105.63
408,106.16
409,106.48
410,106.34
411,106.38
412,106.03
413,106.33
414,106.78
415,107.12
416,106.75
417,106.39
418,106.05
419,105.29
420,104.07
421,102.98
422,102.21
423,101.37
424,100.77
425,100.55
426,100.14
427,99.86
428,99.75
429,99.89
430,100.0
431,100.57
432,101.48
433,102.55
434,103.46
435,104.52
436,105.11
437,105.42
438,105.61
439,105.52
440,105.71
441,105.52
442,105.28
443,104.82
444,103.91
445,102.63
446,101.64
447,100.59
