,0
0,369.89
1,365.22
2,360.18
3,356.75
4,353.05
5,350.17
6,347.72
7,346.13
8,344.35
9,342.91
10,343.04
11,342.89
12,342.89
13,343.5
14,344.48
15,344.53
16,344.22
17,343.66
18,343.28
19,342.23
20,340.89
21,339.25
22,337.13
23,333.28
24,329.23
25,325.74
26,322.2
27,318.36
28,315.61
29,313.79
30,311.64
31,309.35
32,307.19
33,304.72
34,302.53
35,302.82
36,303.63
37,304.18
38,305.28
39,306.63
40,308.07
41,309.29
42,309.84
43,310.43
44,310.13
45,310.2
46,309.69
47,309.39
48,309.47
49,308.68
50,306.36
51,304.05
52,301.6
53,298.74
54,296.29
55,294.14
56,293.67
57,292.95
58,292.6
59,292.29
60,291.24
61,290.59
62,291.26
63,292.32
64,292.7
65,292.32
66,292.83
67,292.61
68,291.85
69,292.25
70,291.78
71,291.51
72,291.54
73,292.74
74,292.05
75,290.39
76,289.33
77,288.62
78,286.87
79,286.06
80,285.61
81,284.36
82,284.4
83,282.67
84,281.3
85,279.06
86,278.02
87,277.51
88,277.24
89,278.16
90,280.19
91,281.23
92,281.47
93,282.41
94,282.89
95,284.54
96,285.8
97,286.78
98,288.03
99,288.28
100,287.59
101,285.81
102,283.67
103,281.47
104,279.35
105,276.42
106,273.53
107,271.25
108,269.75
109,268.56
110,266.18
111,264.95
112,264.24
113,264.27
114,264.59
115,265.4
116,266.68
117,268.06
118,269.45
119,270.23
120,270.56
121,271.11
122,272.89
123,274.43
124,276.47
125,278.33
126,280.04
127,281.88
128,283.44
129,284.37
130,285.37
131,286.54
132,287.64
133,288.95
134,289.61
135,290.68
136,291.26
137,291.86
138,292.41
139,292.3
140,292.74
141,293.74
142,295.02
143,296.22
144,298.34
145,299.93
146,301.89
147,303.09
148,303.5
149,303.27
150,302.96
151,303.33
152,302.25
153,301.1
154,299.36
155,297.41
156,294.84
157,292.28
158,289.58
159,287.82
160,286.99
161,286.58
162,285.89
163,283.48
164,281.88
165,280.04
166,278.81
167,278.17
168,276.62
169,274.98
170,273.34
171,271.2
172,268.52
173,266.01
174,264.77
175,264.81
176,264.78
177,265.75
178,266.85
179,267.61
180,268.92
181,269.95
182,271.02
183,271.98
184,273.11
185,274.25
186,273.78
187,274.02
188,274.75
189,274.09
190,272.47
191,271.32
192,270.74
193,271.22
194,271.84
195,272.5
196,273.96
197,275.03
198,276.61
199,277.21
200,276.93
201,277.62
202,279.29
203,280.55
204,280.83
205,282.56
206,284.56
207,285.84
208,286.91
209,288.42
210,289.66
211,291.63
212,294.47
213,297.77
214,300.28
215,303.12
216,305.71
217,306.06
218,306.95
219,308.73
220,310.18
221,310.76
222,311.4
223,312.11
224,312.86
225,312.66
226,313.34
227,314.03
228,315.36
229,316.46
230,316.41
231,315.62
232,314.55
233,314.49
234,314.39
235,314.27
236,313.9
237,313.52
238,312.9
239,311.52
240,310.1
241,309.46
242,308.83
243,308.84
244,309.08
245,309.19
246,310.23
247,311.13
248,312.08
249,313.04
250,313.3
251,312.9
252,312.82
253,312.48
254,312.66
255,312.64
256,312.31
257,311.99
258,310.8
259,310.33
260,310.08
261,311.08
262,311.71
263,313.2
264,314.03
265,314.46
266,314.29
267,314.23
268,315.02
269,315.16
270,315.68
271,315.44
272,314.62
273,311.03
274,308.18
275,305.75
276,303.43
277,301.42
278,299.88
279,297.79
280,295.32
281,293.7
282,291.88
283,289.4
284,287.43
285,286.99
286,286.35
287,285.48
288,284.75
289,284.26
290,283.64
291,283.61
292,283.47
293,282.91
294,281.81
295,281.43
296,280.74
297,280.19
298,279.74
299,279.48
300,279.46
301,280.05
302,280.95
303,281.48
304,281.44
305,281.37
306,282.07
307,282.87
308,283.48
309,284.37
310,285.3
311,286.28
312,287.39
313,287.54
314,287.6
315,288.02
316,289.08
317,289.71
318,289.46
319,289.47
320,290.29
321,290.75
322,290.92
323,290.73
324,289.65
325,289.06
326,288.19
327,287.41
328,286.38
329,285.68
330,285.87
331,285.43
332,283.95
333,283.51
334,283.58
335,283.41
336,283.81
337,284.24
338,284.5
339,284.19
340,284.5
341,284.88
342,284.47
343,284.63
344,285.92
345,286.15
346,286.39
347,287.45
348,288.48
349,288.85
350,289.83
351,291.09
352,291.83
353,292.79
354,294.19
355,295.26
356,295.65
357,296.31
358,296.71
359,297.22
360,298.26
361,299.01
362,299.58
363,300.45
364,301.3
365,302.02
366,302.16
367,302.27
368,303.06
369,304.09
370,305.46
371,306.01
372,306.24
373,307.02
374,307.76
375,308.49
376,309.23
377,310.03
378,311.93
379,313.76
380,315.35
381,316.67
382,317.81
383,319.39
384,320.67
385,321.7
386,322.77
387,323.35
388,324.18
389,324.78
390,325.03
391,325.39
392,325.51
393,325.53
394,325.59
395,325.53
396,325.13
397,325.04
398,324.56
399,324.4
400,324.15
401,323.72
402,323.28
403,322.99
404,322.85
405,323.08
406,323.1
407,323.28
408,323.5
409,323.56
410,324.09
411,324.61
412,324.97
413,325.44
414,325.86
415,326.34
416,325.85
417,324.75
418,323.45
419,321.61
420,319.87
421,318.19
422,316.37
423,314.21
424,312.01
425,310.12
426,308.16
427,305.69
428,303.25
429,301.2
430,299.3
431,297.81
432,296.86
433,296.32
434,295.62
435,294.84
436,294.02
437,293.51
438,292.99
439,292.2
440,291.77
441,291.28
442,290.73
443,289.94
444,288.75
445,286.99
446,285.2
447,284.25
448,283.65
449,282.76
