,0
0,329.61
1,327.78
2,325.0
3,323.71
4,321.02
5,317.92
6,315.13
7,312.41
8,310.75
9,310.12
10,309.38
11,302.68
12,295.81
13,288.17
14,281.25
15,274.86
16,268.85
17,262.6
18,256.19
19,249.46
20,241.4
21,232.13
22,222.39
23,219.42
24,216.2
25,214.75
26,213.95
27,212.2
28,210.15
29,209.2
30,207.97
31,206.22
32,203.8
33,202.35
34,201.71
35,201.14
36,200.24
37,198.49
38,196.95
39,196.33
40,196.7
41,197.39
42,198.1
43,199.49
44,201.65
45,204.09
46,206.04
47,208.4
48,211.92
49,215.36
50,217.88
51,219.65
52,221.82
53,223.1
54,224.09
55,224.61
56,225.35
57,225.09
58,224.45
59,223.74
60,222.09
61,220.67
62,220.25
63,218.22
64,214.4
65,210.42
66,207.39
67,203.89
68,199.95
69,199.05
70,197.91
71,197.59
72,197.74
73,198.8
74,198.04
75,198.32
76,199.0
77,200.13
78,200.28
79,201.13
80,203.11
81,202.63
82,202.81
83,201.24
84,199.51
85,197.02
86,196.02
87,194.14
88,193.11
89,192.61
90,193.14
91,193.34
92,192.51
93,192.41
94,191.42
95,191.59
96,191.96
97,192.21
98,191.19
99,190.72
100,189.09
101,186.76
102,184.61
103,181.88
104,179.81
105,176.32
106,173.41
107,170.46
108,168.33
109,166.07
110,164.12
111,163.16
112,162.91
113,162.6
114,162.5
115,163.24
116,163.95
117,165.1
118,165.68
119,166.06
120,165.5
121,164.55
122,164.89
123,165.16
124,166.37
125,168.29
126,169.54
127,169.5
128,169.04
129,168.06
130,168.62
131,168.41
132,168.04
133,168.2
134,167.82
135,167.95
136,167.52
137,166.19
138,165.11
139,165.05
140,166.02
141,167.55
142,168.46
143,170.14
144,171.84
145,173.08
146,174.29
147,174.22
148,173.59
149,173.09
150,172.51
151,172.53
152,171.15
153,169.62
154,167.68
155,166.18
156,165.01
157,163.79
158,162.45
159,161.82
160,161.74
161,162.41
162,162.88
163,161.58
164,160.72
165,159.92
166,159.01
167,157.77
168,156.16
169,154.65
170,153.34
171,151.67
172,149.53
173,146.64
174,144.36
175,142.96
176,141.65
177,140.74
178,140.24
179,139.48
180,138.9
181,138.17
182,137.42
183,136.43
184,135.69
185,135.35
186,134.11
187,133.92
188,133.68
189,133.23
190,132.5
191,131.75
192,130.97
193,131.31
194,130.98
195,128.43
196,126.07
197,122.98
198,120.35
199,116.72
200,113.06
201,109.53
202,106.63
203,103.83
204,101.48
205,99.34
206,97.94
207,99.3
208,100.79
209,102.46
210,103.81
211,105.61
212,107.35
213,109.07
214,110.37
215,111.61
216,112.22
217,112.02
218,112.44
219,112.96
220,113.5
221,114.26
222,114.48
223,114.64
224,115.1
225,115.47
226,115.67
227,116.4
228,117.47
229,118.03
230,118.14
231,117.64
232,117.11
233,116.89
234,117.14
235,117.48
236,117.61
237,117.58
238,118.05
239,118.06
240,118.33
241,119.26
242,119.89
243,121.18
244,122.21
245,123.32
246,124.63
247,126.19
248,127.86
249,129.51
250,130.57
251,131.89
252,133.11
253,134.43
254,135.78
255,136.74
256,138.22
257,139.79
258,140.97
259,141.99
260,143.33
261,147.78
262,152.24
263,156.4
264,160.76
265,164.1
266,167.0
267,169.72
268,172.4
269,174.71
270,177.22
271,179.18
272,180.82
273,179.43
274,178.15
275,176.98
276,175.21
277,174.05
278,173.8
279,173.74
280,173.34
281,173.82
282,174.46
283,175.47
284,176.47
285,177.28
286,177.97
287,178.71
288,180.68
289,183.03
290,185.53
291,187.38
292,189.32
293,190.73
294,191.97
295,193.62
296,195.37
297,197.14
298,198.9
299,200.94
300,202.09
301,203.27
302,203.95
303,205.54
304,206.68
305,207.84
306,209.09
307,209.89
308,210.55
309,212.01
310,213.75
311,214.87
312,215.71
313,216.02
314,216.02
315,215.87
316,215.98
317,215.27
318,214.82
319,216.88
320,219.07
321,220.97
322,222.45
323,223.97
324,225.27
325,226.69
326,228.38
327,230.08
328,231.78
329,234.13
330,236.16
331,236.19
332,236.06
333,236.0
334,236.64
335,237.36
336,238.59
337,239.75
338,241.08
339,242.69
340,245.11
341,247.33
342,249.91
343,252.72
344,255.54
345,257.94
346,259.97
347,261.46
348,262.82
349,264.34
350,266.16
351,267.71
352,268.65
353,270.26
354,271.62
355,272.59
356,273.35
357,274.47
358,275.94
359,277.18
360,279.05
361,280.75
362,281.62
363,282.92
364,283.98
365,285.02
366,285.94
367,286.46
368,287.5
369,288.61
370,290.33
371,293.24
372,295.06
373,297.17
374,299.71
375,302.13
376,303.51
377,303.5
378,303.47
379,303.8
380,304.17
381,305.29
382,306.63
383,307.06
384,308.22
385,308.53
386,308.62
387,308.18
388,309.35
389,310.88
390,312.01
391,312.95
392,313.21
393,312.75
394,310.79
395,308.76
396,305.63
397,303.04
398,301.1
399,299.17
400,297.31
401,295.15
402,293.51
403,292.22
404,291.92
405,290.99
406,290.49
407,290.66
408,291.92
409,293.24
410,293.97
411,294.83
412,295.94
413,297.19
414,298.81
415,300.6
416,300.8
417,301.42
418,302.18
419,302.46
420,302.09
421,302.08
422,302.26
423,302.35
424,301.53
425,301.72
426,301.32
427,300.91
428,300.96
429,301.22
430,301.19
431,302.51
432,304.39
433,306.29
434,308.54
435,310.64
436,312.05
437,313.48
438,315.46
439,316.31
440,317.3
441,317.56
442,318.32
443,318.08
444,316.51
445,313.72
446,311.13
447,309.34
448,308.22
449,307.45
450,306.35
451,306.16
452,306.41
453,307.25
454,307.73
455,308.4
456,310.84
457,314.24
458,317.54
459,320.04
460,322.79
461,324.72
462,327.14
463,329.01
464,331.15
465,332.77
466,334.01
467,335.55
468,335.83
469,335.66
470,334.71
471,333.65
472,332.32
473,330.86
474,329.74
475,329.39
476,328.04
477,327.7
478,327.71
479,327.22
480,327.45
481,328.91
482,331.03
483,333.47
484,336.46
485,339.45
486,341.8
487,343.89
488,346.65
489,348.29
