,0
0,64.57
1,65.32
2,65.81
3,66.27
4,66.79
5,67.2
6,67.71
7,68.02
8,68.39
9,69.18
10,69.86
11,70.37
12,71.01
13,71.72
14,72.35
15,72.9
16,73.22
17,73.76
18,74.13
19,74.4
20,74.66
21,74.52
22,74.33
23,74.15
24,73.86
25,73.41
26,73.29
27,73.25
28,73.32
29,73.34
30,73.5
31,73.98
32,74.67
33,75.42
34,75.84
35,76.54
36,77.18
37,77.66
38,77.61
39,77.49
40,77.48
41,77.33
42,77.42
43,77.25
44,76.93
45,76.59
46,76.78
47,76.58
48,76.38
49,76.52
50,76.95
51,77.43
52,77.76
53,78.08
54,78.19
55,78.44
56,78.73
57,78.77
58,78.8
59,79.11
60,79.54
61,79.92
62,80.32
63,80.7
64,81.0
65,81.19
66,81.08
67,80.87
68,80.7
69,80.96
70,80.93
71,80.9
72,80.93
73,81.17
74,81.37
75,81.67
76,81.47
77,81.46
78,81.81
79,82.2
80,82.6
81,82.96
82,83.58
83,83.98
84,84.29
85,84.37
86,84.73
87,85.02
88,86.02
89,87.01
90,87.93
91,88.7
92,89.41
93,89.94
94,90.5
95,91.14
96,92.11
97,93.12
98,93.79
99,94.27
100,94.23
101,94.19
102,93.98
103,93.61
104,92.68
105,92.19
106,91.3
107,90.23
108,88.92
109,87.69
110,86.83
111,85.86
112,85.05
113,84.37
114,83.57
115,82.93
116,82.92
117,82.49
118,82.31
119,82.26
120,82.09
121,81.63
122,81.08
123,80.92
124,81.13
125,81.26
126,81.49
127,81.79
128,82.11
129,82.39
130,82.86
131,83.51
132,84.46
133,85.36
134,86.12
135,86.5
136,86.42
137,86.36
138,86.45
139,86.73
140,86.85
141,87.2
142,87.46
143,87.51
144,87.15
145,87.04
146,87.13
147,87.45
148,88.06
149,88.89
150,89.73
151,90.48
152,91.06
153,91.62
154,91.8
155,92.06
156,92.26
157,92.53
158,92.57
159,92.58
160,92.65
161,92.53
162,92.45
163,92.15
164,92.14
165,91.71
166,91.47
167,91.27
168,91.16
169,90.79
170,90.44
171,89.77
172,88.89
173,88.03
174,87.33
175,86.8
176,85.98
177,85.74
178,85.91
179,86.38
180,87.15
181,87.96
182,88.62
183,89.6
184,90.75
185,92.04
186,92.87
187,93.82
188,94.9
189,95.85
190,96.54
191,97.08
192,97.44
193,97.83
194,98.49
195,99.26
196,100.24
197,100.95
198,101.97
199,102.69
200,103.51
201,104.19
202,104.97
203,105.62
204,105.8
205,106.17
206,106.72
207,107.25
208,107.6
209,107.84
210,108.01
211,108.28
212,108.34
213,108.56
214,108.63
215,108.64
216,108.79
217,108.86
218,108.72
219,108.51
220,108.17
221,107.68
222,106.94
223,106.26
224,105.73
225,104.88
226,104.27
227,103.79
228,103.52
229,103.11
230,102.58
231,102.12
232,101.87
233,101.96
234,102.13
235,102.53
236,103.0
237,103.39
238,103.64
239,103.88
240,103.88
241,104.0
242,104.36
243,104.79
244,104.93
245,105.1
246,105.54
247,105.91
248,106.14
249,106.51
250,106.63
251,106.71
252,107.26
253,107.74
254,108.11
255,108.33
256,109.07
257,109.52
258,109.69
259,109.92
260,110.05
261,109.9
262,110.01
263,110.04
264,110.17
265,110.26
266,110.31
267,110.79
268,110.86
269,111.0
270,111.27
271,111.32
272,111.11
273,111.19
274,111.08
275,111.07
276,110.8
277,110.59
278,110.31
279,109.71
280,109.19
281,108.89
282,108.71
283,108.38
284,108.27
285,108.11
286,107.95
287,107.61
288,107.3
289,106.57
290,105.85
291,104.95
292,104.23
293,103.76
294,103.01
295,102.34
296,101.82
297,101.55
298,101.5
299,101.69
300,101.9
301,102.55
302,103.78
303,105.01
304,106.19
305,106.84
306,107.65
307,108.62
308,109.57
309,110.38
310,111.1
311,111.57
312,112.18
313,112.74
314,112.7
315,112.78
316,112.88
317,112.99
318,113.07
319,113.19
320,113.44
321,113.35
322,112.87
323,112.32
324,111.43
325,110.79
326,110.26
327,109.7
328,108.86
