,0
0,168.63
1,168.42
2,168.14
3,167.91
4,167.8
5,167.83
6,167.85
7,167.63
8,167.32
9,167.03
10,166.54
11,166.28
12,166.24
13,166.27
14,166.31
15,166.5
16,166.76
17,166.9
18,166.91
19,166.43
20,165.99
21,165.38
22,164.59
23,163.75
24,163.09
25,162.63
26,162.09
27,161.62
28,161.37
29,161.38
30,161.43
31,161.47
32,161.56
33,161.81
34,162.26
35,162.77
36,163.32
37,163.76
38,164.28
39,164.66
40,164.98
41,165.2
42,165.34
43,165.44
44,165.76
45,166.25
46,166.34
47,166.59
48,167.07
49,167.7
50,168.13
51,168.22
52,168.3
53,168.03
54,167.69
55,167.5
56,167.02
57,166.41
58,165.83
59,165.46
60,164.62
61,163.85
62,163.0
63,162.26
64,161.05
65,159.82
66,158.89
67,157.89
68,157.1
69,156.16
70,155.02
71,153.78
72,152.94
73,152.01
74,151.0
75,150.11
76,149.48
77,149.0
78,148.47
79,148.26
80,147.85
81,147.19
82,146.86
83,146.49
84,145.85
85,144.76
86,143.82
87,142.89
88,142.26
89,141.32
90,140.76
91,140.5
92,140.05
93,139.78
94,139.49
95,139.52
96,139.52
97,139.59
98,139.34
99,139.29
100,139.33
101,139.29
102,139.17
103,139.1
104,138.95
105,138.75
106,138.75
107,138.84
108,138.9
109,138.86
110,139.18
111,139.79
112,140.68
113,141.5
114,142.16
115,142.98
116,143.94
117,144.76
118,145.8
119,146.68
120,147.38
121,148.31
122,149.39
123,150.39
124,151.48
125,152.47
126,153.54
127,154.52
128,155.51
129,156.51
130,157.6
131,158.7
132,159.8
133,160.69
134,161.36
135,162.13
136,162.77
137,163.43
138,163.75
139,164.04
140,164.27
141,164.5
142,164.55
143,164.5
144,164.2
145,164.0
146,163.8
147,163.47
148,163.39
149,162.95
150,162.59
151,162.11
152,161.4
153,160.86
154,160.29
155,159.54
156,158.77
157,157.85
158,156.96
159,156.2
160,155.53
161,154.58
162,153.47
163,152.41
164,151.75
165,151.18
166,150.66
167,150.01
168,149.34
169,148.7
170,148.08
171,147.59
172,146.97
173,146.4
174,145.65
175,145.27
176,144.82
177,144.62
178,144.57
179,144.49
180,144.2
181,143.86
182,143.98
183,144.09
184,144.08
185,143.83
186,143.41
187,143.26
188,143.3
189,143.19
190,142.77
191,142.8
192,142.97
193,143.3
194,143.67
195,144.06
196,144.54
197,144.86
198,145.24
199,145.55
200,145.84
201,146.01
202,146.05
203,145.82
204,145.78
205,145.64
206,145.59
207,145.66
208,145.18
209,144.72
210,144.43
211,144.32
212,144.55
213,144.82
214,144.98
215,144.87
216,144.85
217,144.3
218,143.64
219,143.15
220,142.47
221,141.82
222,141.03
223,140.06
224,139.36
225,138.59
226,137.59
227,136.76
228,136.03
229,135.59
230,134.91
231,134.23
232,133.69
233,133.18
234,132.87
235,132.68
236,132.4
237,132.13
238,131.88
239,131.71
240,131.69
241,131.89
242,132.25
243,132.77
244,133.18
245,133.52
246,134.02
247,134.75
248,135.68
249,136.66
250,137.62
251,138.46
252,139.44
253,140.39
254,141.5
255,142.41
256,143.38
257,144.27
258,145.01
259,145.59
260,146.14
261,146.66
262,147.11
263,147.6
264,147.98
265,148.15
266,148.28
267,148.64
268,149.03
269,149.25
270,149.64
271,149.89
272,150.02
273,150.01
274,149.95
275,150.0
276,150.06
277,150.19
278,150.44
279,150.76
280,150.91
281,151.13
282,151.32
283,151.5
284,151.69
285,152.16
286,152.68
287,153.27
288,154.01
289,154.69
290,155.32
291,156.06
292,156.67
293,157.05
294,157.29
295,157.82
296,158.29
297,158.85
298,159.54
299,160.2
300,160.73
301,161.19
302,161.56
303,161.89
304,162.14
305,162.49
306,162.94
307,163.35
308,163.66
309,164.01
310,164.33
311,164.82
312,165.24
313,165.5
314,165.79
315,166.1
316,166.44
317,166.74
318,167.13
319,167.59
320,168.18
321,168.55
322,168.9
323,169.16
324,169.37
325,169.58
326,169.93
327,170.41
328,170.87
329,171.51
330,172.18
331,172.61
332,172.99
333,173.31
334,173.78
335,174.31
336,175.0
337,175.39
338,175.8
339,176.35
340,176.8
341,177.24
342,177.67
343,178.24
344,178.8
345,179.29
346,179.78
347,180.32
348,180.91
349,181.77
350,182.56
351,183.27
352,183.89
353,184.41
354,184.84
355,185.15
356,185.49
357,185.91
358,186.34
359,186.96
360,187.47
361,188.01
362,188.37
363,188.7
364,189.04
