,0
0,125.91
1,126.24
2,126.56
3,126.82
4,127.15
5,127.55
6,127.94
7,128.27
8,128.56
9,128.99
10,129.38
11,129.68
12,130.19
13,130.72
14,131.28
15,131.9
16,132.51
17,133.09
18,133.57
19,133.9
20,134.33
21,134.76
22,135.13
23,135.54
24,136.08
25,136.56
26,137.1
27,137.67
28,138.29
29,138.93
30,139.48
31,140.03
32,140.58
33,141.19
34,141.83
35,142.48
36,143.03
37,143.65
38,144.09
39,144.64
40,145.4
41,146.24
42,147.12
43,147.8
44,148.44
45,148.91
46,149.44
47,149.85
48,150.16
49,150.37
50,150.51
51,150.52
52,150.48
53,150.42
54,150.39
55,150.3
56,149.93
57,149.54
58,149.16
59,148.84
60,148.53
61,148.19
62,147.84
63,147.51
64,147.2
65,146.92
66,146.42
67,145.83
68,145.16
69,144.59
70,144.08
71,143.79
72,143.28
73,142.91
74,142.75
75,142.53
76,142.23
77,141.95
78,141.58
79,141.24
80,140.87
81,140.52
82,140.6
83,140.65
84,140.5
85,140.2
86,139.74
87,139.19
88,138.73
89,138.27
90,137.77
91,137.39
92,137.17
93,136.96
94,136.87
95,136.89
96,136.92
97,137.03
98,137.22
99,137.39
100,137.46
101,137.53
102,137.6
103,137.8
104,138.06
105,138.26
106,138.44
107,138.63
108,138.84
109,138.9
110,139.11
111,139.32
112,139.67
113,140.11
114,140.59
115,141.07
116,141.58
117,141.86
118,141.76
119,141.47
120,141.09
121,140.71
122,140.27
123,139.74
124,139.33
125,138.89
126,138.47
127,138.14
128,137.85
129,137.52
130,137.18
131,136.83
132,136.49
133,136.18
134,135.7
135,135.32
136,134.89
137,134.58
138,134.17
139,133.71
140,133.18
141,132.58
142,132.12
143,131.63
144,131.42
145,131.36
146,131.37
147,131.38
148,131.5
149,131.51
150,131.49
151,131.57
152,131.68
153,131.7
154,131.67
155,131.6
156,131.62
157,131.67
158,131.67
159,131.67
160,131.82
161,131.96
162,131.82
163,131.78
164,131.99
165,132.27
166,132.44
167,132.59
168,132.59
169,132.78
170,132.86
171,133.07
172,133.21
173,133.37
174,133.51
175,133.73
176,133.91
177,134.12
178,134.43
179,134.74
180,135.19
181,135.72
182,135.94
183,136.12
184,136.38
185,136.53
186,136.58
187,136.73
188,137.29
189,137.71
190,137.97
191,138.26
192,138.67
193,139.2
194,139.79
195,140.22
196,140.72
197,141.16
198,141.68
199,142.24
200,142.78
201,143.39
202,143.95
203,144.36
204,144.74
205,145.17
206,145.58
207,145.96
208,146.55
209,147.25
210,147.94
211,148.62
212,149.39
213,150.1
214,150.72
215,151.25
216,151.72
217,152.15
218,152.53
219,152.92
220,153.29
221,153.7
222,154.1
223,154.37
224,154.56
225,154.63
226,154.74
227,154.89
228,155.08
229,155.38
230,155.4
231,155.33
232,155.09
233,154.71
234,154.4
235,153.99
236,153.43
237,152.95
238,152.43
239,151.88
240,151.31
241,150.8
242,150.37
243,149.86
244,149.37
245,148.89
246,148.33
247,147.71
248,147.11
249,146.53
250,145.94
251,145.37
252,144.92
253,144.55
254,144.25
255,143.79
256,143.45
257,143.13
258,142.97
259,142.97
260,142.86
261,142.83
262,142.96
263,143.16
264,143.32
265,143.57
266,143.82
267,144.12
268,144.42
269,144.66
270,144.81
271,144.79
272,144.91
273,145.17
274,145.49
275,145.82
276,146.2
277,146.55
278,146.83
279,147.0
280,147.0
281,147.1
282,147.36
283,147.65
284,147.91
285,148.13
286,148.4
287,148.67
288,148.96
289,149.16
290,149.41
291,149.65
292,149.9
293,150.1
294,150.36
295,150.78
296,151.28
297,151.84
298,152.26
299,152.66
300,153.0
301,153.37
302,153.75
303,154.2
304,154.47
305,154.22
306,154.18
307,154.17
308,153.99
309,153.73
310,153.38
311,153.06
312,152.72
313,152.31
314,151.84
315,151.41
316,150.95
317,150.45
318,149.83
319,149.21
320,148.56
321,147.91
322,147.28
323,146.59
324,145.9
325,145.06
326,144.16
327,143.19
328,142.21
329,141.04
330,140.11
331,139.66
332,139.08
333,138.43
334,137.91
335,137.5
336,137.14
337,136.78
338,136.36
339,135.95
340,135.66
341,135.33
342,134.95
343,134.61
344,134.33
345,134.02
346,133.62
347,133.15
348,132.71
349,132.42
350,132.19
351,132.15
352,132.14
353,132.11
354,131.98
355,132.06
356,131.99
357,131.92
358,132.0
359,131.99
360,132.01
361,132.05
362,132.27
363,132.53
364,132.85
365,133.12
366,133.3
367,133.78
368,134.36
369,134.88
370,135.41
371,136.01
372,136.69
373,137.31
374,138.01
375,138.63
376,139.28
377,139.86
378,140.48
379,141.17
380,141.89
381,142.55
382,143.17
383,143.8
384,144.33
385,144.84
386,145.23
387,145.57
388,145.74
389,145.88
390,146.04
391,146.3
392,146.49
393,146.46
394,146.28
395,146.13
396,146.15
397,146.13
398,146.13
399,146.19
400,146.22
401,146.37
402,146.43
403,146.52
404,146.57
405,146.62
406,146.67
407,146.71
408,146.89
409,147.03
410,147.14
