,0
0,154.89
1,154.54
2,154.21
3,153.79
4,153.48
5,153.24
6,153.11
7,152.7
8,152.22
9,151.79
10,151.13
11,150.84
12,150.74
13,150.81
14,151.14
15,151.43
16,151.73
17,151.99
18,151.91
19,151.6
20,151.21
21,151.04
22,150.84
23,150.96
24,150.56
25,150.38
26,150.22
27,150.22
28,150.31
29,150.76
30,151.08
31,151.35
32,151.61
33,152.16
34,152.8
35,153.42
36,154.12
37,154.59
38,155.15
39,155.55
40,155.85
41,156.07
42,156.32
43,156.53
44,157.04
45,157.79
46,158.27
47,158.5
48,158.99
49,159.45
50,159.49
51,159.15
52,158.72
53,157.88
54,156.99
55,156.21
56,154.7
57,153.19
58,151.64
59,149.98
60,147.95
61,145.96
62,143.88
63,141.77
64,139.35
65,137.16
66,135.4
67,133.59
68,132.09
69,130.4
70,128.72
71,126.88
72,125.18
73,123.31
74,121.33
75,119.68
76,118.41
77,117.48
78,116.54
79,116.01
80,115.4
81,114.64
82,114.59
83,114.46
84,114.15
85,113.52
86,113.03
87,112.55
88,112.51
89,112.31
90,112.34
91,112.41
92,112.25
93,112.31
94,112.36
95,112.59
96,112.59
97,112.65
98,112.59
99,112.8
100,113.06
101,113.19
102,113.23
103,113.05
104,112.67
105,112.04
106,111.59
107,111.04
108,110.68
109,110.39
110,110.47
111,110.98
112,111.78
113,112.55
114,113.07
115,113.5
116,114.07
117,114.59
118,115.59
119,116.47
120,117.16
121,118.17
122,119.52
123,120.75
124,122.02
125,123.11
126,124.23
127,125.24
128,126.29
129,127.36
130,128.63
131,129.89
132,131.12
133,132.18
134,132.94
135,133.7
136,134.3
137,134.86
138,135.09
139,135.38
140,135.67
141,136.13
142,136.39
143,136.59
144,136.25
145,136.02
146,135.86
147,135.62
148,135.38
149,134.84
150,134.43
151,133.98
152,133.25
153,132.63
154,131.81
155,130.86
156,129.81
157,128.72
158,127.67
159,126.76
160,126.17
161,125.45
162,124.65
163,123.82
164,123.45
165,123.11
166,122.79
167,122.32
168,121.77
169,121.19
170,120.68
171,120.03
172,119.14
173,118.39
174,117.62
175,117.17
176,116.66
177,116.39
178,116.25
179,116.09
180,115.84
181,115.55
182,115.01
183,114.58
184,113.87
185,113.02
186,111.91
187,110.99
188,110.13
189,109.13
190,107.79
191,106.85
192,106.1
193,105.49
194,104.92
195,104.34
196,103.64
197,102.94
198,102.38
199,101.59
200,100.74
201,99.9
202,99.08
203,98.05
204,97.15
205,96.19
206,95.36
207,94.59
208,94.01
209,93.47
210,93.22
211,93.11
212,93.16
213,93.21
214,93.25
215,93.2
216,93.26
217,92.81
218,92.21
219,91.76
220,91.18
221,90.72
222,90.27
223,89.79
224,89.47
225,89.12
226,88.8
227,88.48
228,88.07
229,87.82
230,87.47
231,87.25
232,87.29
233,87.45
234,87.83
235,88.12
236,88.32
237,88.5
238,88.76
239,88.95
240,89.13
241,89.47
242,89.9
243,90.57
244,91.16
245,91.79
246,92.61
247,93.68
248,94.46
249,95.24
250,95.93
251,96.55
252,97.03
253,97.51
254,98.14
255,98.66
256,99.19
257,99.51
258,99.59
259,99.56
260,99.48
261,99.47
262,99.39
263,99.39
264,99.28
265,99.07
266,98.91
267,98.82
268,98.61
269,98.28
270,98.02
271,97.61
272,97.05
273,96.26
274,95.94
275,95.71
276,95.63
277,95.58
278,95.56
279,95.68
280,95.65
281,95.61
282,95.49
283,95.49
284,95.49
285,95.71
286,95.95
287,96.23
288,96.58
289,96.97
290,97.23
291,97.61
292,98.0
293,98.19
294,98.35
295,98.69
296,99.02
297,99.42
298,99.87
299,100.32
300,100.67
301,101.08
302,101.32
303,101.46
304,101.74
305,102.09
306,102.35
307,102.48
308,102.69
309,102.91
310,103.17
311,103.38
312,103.52
313,103.65
314,103.95
315,104.27
316,104.62
317,104.97
318,105.4
319,106.0
320,106.78
321,107.32
322,107.8
323,108.27
324,108.82
325,109.24
326,109.86
327,110.43
328,110.98
329,111.76
330,112.5
331,113.09
332,113.91
333,114.65
334,115.44
335,116.2
336,117.07
337,117.88
338,118.67
339,119.45
340,120.04
341,120.57
342,121.13
343,121.86
344,122.47
345,122.92
346,123.35
347,123.84
348,124.34
349,124.93
350,125.44
351,126.04
352,126.35
353,126.67
354,126.92
355,127.15
356,127.4
357,127.75
358,128.06
359,128.53
360,128.86
361,129.32
362,129.45
363,129.58
364,129.67
365,129.75
366,129.85
367,129.95
368,130.23
369,130.37
370,130.46
371,130.49
372,130.48
373,130.88
374,131.44
375,131.8
376,132.1
377,132.41
378,132.8
379,133.21
380,133.62
381,133.86
382,133.98
383,133.94
384,133.94
385,133.97
386,134.07
387,133.94
388,134.06
389,134.18
390,134.42
391,134.65
392,135.03
393,135.41
394,135.6
395,135.67
396,135.9
397,136.29
398,136.83
399,136.9
400,137.0
401,137.18
402,137.28
403,137.33
404,137.3
405,137.1
406,136.78
407,136.55
408,136.45
409,136.17
410,135.83
411,135.52
412,135.19
413,135.1
414,134.77
415,134.54
416,134.19
417,133.92
418,133.54
419,133.21
420,133.0
421,132.89
422,132.58
423,132.36
424,131.91
425,131.41
426,130.77
427,130.02
428,129.49
429,129.05
430,128.43
431,127.82
432,127.76
433,127.9
434,127.97
435,128.39
436,128.86
437,129.34
438,129.83
439,130.34
440,131.01
441,131.53
442,132.21
443,132.77
444,133.44
445,133.97
446,134.39
447,134.89
448,135.52
449,135.95
450,136.54
451,137.25
452,138.0
453,138.84
454,139.6
455,140.27
456,141.26
457,142.23
458,142.97
459,143.42
460,143.95
461,144.35
462,144.65
463,145.0
464,145.35
465,145.53
466,145.83
467,146.35
468,146.74
469,147.11
470,147.42
471,147.81
472,148.22
473,148.53
474,148.81
475,149.12
