,0
0,493.79
1,492.41
2,490.75
3,489.29
4,487.71
5,486.92
6,486.71
7,486.48
8,486.02
9,485.51
10,485.25
11,485.93
12,486.97
13,488.34
14,489.9
15,491.38
16,493.47
17,495.06
18,496.79
19,497.97
20,498.83
21,499.76
22,499.99
23,500.14
24,500.98
25,502.0
26,503.17
27,504.38
28,505.75
29,507.6
30,509.36
31,511.0
32,512.6
33,514.46
34,516.59
35,519.34
36,522.33
37,524.93
38,527.06
39,529.14
40,531.43
41,534.4
42,536.89
43,539.08
44,541.04
45,543.55
46,545.88
47,547.71
48,550.19
49,553.07
50,554.9
51,555.95
52,556.52
53,556.24
54,556.18
55,556.31
56,555.52
57,554.47
58,553.48
59,552.74
60,550.82
61,548.14
62,545.31
63,542.59
64,539.43
65,536.16
66,532.94
67,528.76
68,524.73
69,519.0
70,513.15
71,506.7
72,500.76
73,495.43
74,489.74
75,484.63
76,480.17
77,476.29
78,472.2
79,469.77
80,466.92
81,463.59
82,461.36
83,459.1
84,457.02
85,454.01
86,451.59
87,449.79
88,448.3
89,446.45
90,444.88
91,444.02
92,442.64
93,441.91
94,441.69
95,443.63
96,445.33
97,447.31
98,449.16
99,450.94
100,452.73
101,453.76
102,454.66
103,455.97
104,457.53
105,457.64
106,458.23
107,459.69
108,461.59
109,463.39
110,465.18
111,467.44
112,470.31
113,473.09
114,475.7
115,477.94
116,480.75
117,483.49
118,486.55
119,489.25
120,491.48
121,493.94
122,496.75
123,499.41
124,501.77
125,503.67
126,505.62
127,507.12
128,508.72
129,510.4
130,512.44
131,514.92
132,517.51
133,519.13
134,520.0
135,520.99
136,521.88
137,522.9
138,523.02
139,523.11
140,522.96
141,523.37
142,523.65
143,523.02
144,522.19
145,521.55
146,521.01
147,520.63
148,520.49
149,519.36
150,518.1
151,516.89
152,515.57
153,514.61
154,513.21
155,511.25
156,508.8
157,505.46
158,502.45
159,499.62
160,497.49
161,495.14
162,492.5
163,489.79
164,488.09
165,486.2
166,484.65
167,482.64
168,480.31
169,478.55
170,476.6
171,474.31
172,471.54
173,468.84
174,466.38
175,464.93
176,463.32
177,462.38
178,462.11
179,461.83
180,461.83
181,461.99
182,462.91
183,464.24
184,465.01
185,465.24
186,465.19
187,465.5
188,466.14
189,466.73
190,466.91
191,468.16
192,469.43
193,471.01
194,473.28
195,475.25
196,477.33
197,479.44
198,482.03
199,484.59
200,486.9
201,489.25
202,491.75
203,493.68
204,495.29
205,495.5
206,495.35
207,495.06
208,493.95
209,493.22
210,492.53
211,492.51
212,492.56
213,492.63
214,492.44
215,491.37
216,490.31
217,488.27
218,486.13
219,484.35
220,481.83
221,479.53
222,477.19
223,474.56
224,472.07
225,469.25
226,466.23
227,463.35
228,460.35
229,458.63
230,456.37
231,455.54
232,455.16
233,454.92
234,455.08
235,455.25
236,455.18
237,454.68
238,454.39
239,454.56
240,454.88
241,455.88
242,457.26
243,458.92
244,460.62
245,462.45
246,464.65
247,466.95
248,469.08
249,471.45
250,473.72
251,475.51
252,477.31
253,478.96
254,481.09
255,481.88
256,483.13
257,484.01
258,484.91
259,485.66
260,486.14
261,486.41
262,486.78
263,487.47
264,487.65
265,487.16
266,486.96
267,486.4
268,485.87
269,485.22
270,484.61
271,483.47
272,481.75
273,479.83
274,478.61
275,477.49
276,476.4
277,475.77
278,475.35
279,475.01
280,474.3
281,473.72
282,473.12
283,472.72
284,471.94
285,471.54
286,471.32
287,471.46
288,471.77
289,472.17
290,472.66
291,472.93
292,473.23
293,474.11
294,474.34
295,474.81
296,475.01
297,475.55
298,476.51
299,477.41
300,478.29
301,479.06
302,479.97
303,480.57
304,480.77
305,481.16
306,481.74
307,481.96
308,481.94
309,481.83
310,482.0
311,482.34
312,482.66
313,482.85
314,482.99
315,483.18
316,483.48
317,484.12
318,484.24
319,484.15
320,484.51
321,484.5
322,484.56
323,484.26
324,483.77
325,483.45
326,483.55
327,483.66
328,483.7
329,484.09
330,484.8
331,485.48
332,486.0
333,486.7
334,487.69
335,488.74
336,489.89
337,490.75
338,491.8
339,492.86
340,493.76
341,494.43
342,495.01
