,0
0,226.36
1,225.07
2,223.9
3,223.14
4,222.26
5,221.72
6,221.03
7,219.69
8,218.12
9,216.83
10,215.27
11,214.43
12,213.73
13,213.25
14,212.88
15,212.39
16,211.98
17,211.67
18,211.04
19,209.88
20,208.75
21,207.52
22,206.48
23,205.72
24,204.83
25,204.39
26,204.12
27,204.0
28,203.85
29,204.25
30,204.43
31,204.42
32,204.39
33,204.98
34,205.92
35,206.68
36,207.52
37,207.82
38,208.23
39,208.22
40,207.91
41,207.52
42,207.22
43,206.93
44,206.88
45,207.02
46,206.49
47,205.98
48,205.73
49,205.47
50,204.74
51,203.43
52,202.05
53,200.18
54,198.68
55,197.43
56,196.07
57,194.67
58,193.42
59,192.27
60,190.39
61,188.65
62,186.77
63,185.04
64,182.82
65,180.91
66,179.61
67,178.22
68,176.93
69,175.47
70,173.96
71,172.57
72,171.45
73,170.3
74,169.08
75,168.16
76,167.7
77,167.27
78,167.32
79,168.03
80,168.42
81,168.31
82,168.74
83,169.19
84,169.53
85,169.25
86,169.01
87,168.81
88,169.0
89,168.72
90,168.8
91,169.04
92,169.07
93,169.41
94,170.26
95,171.18
96,171.79
97,172.22
98,172.4
99,172.83
100,173.31
101,173.71
102,174.15
103,174.74
104,174.67
105,173.82
106,173.0
107,172.16
108,171.4
109,170.58
110,170.07
111,170.22
112,170.97
113,171.66
114,172.0
115,172.4
116,173.06
117,173.62
118,174.25
119,174.64
120,174.55
121,174.87
122,175.64
123,176.39
124,177.34
125,177.88
126,178.51
127,179.05
128,179.56
129,180.16
130,180.74
131,181.57
132,182.51
133,183.39
134,183.76
135,184.07
136,184.31
137,183.98
138,183.21
139,182.35
140,181.67
141,181.12
142,180.09
143,179.03
144,177.79
145,176.64
146,175.61
147,174.57
148,173.58
149,172.35
150,171.22
151,170.16
152,168.73
153,167.43
154,165.89
155,164.22
156,162.7
157,161.13
158,159.52
159,158.18
160,157.15
161,156.03
162,154.64
163,153.64
164,153.27
165,153.12
166,152.96
167,152.73
168,152.43
169,152.0
170,151.64
171,151.34
172,150.77
173,150.18
174,149.72
175,149.55
176,149.44
177,149.65
178,150.0
179,150.48
180,150.86
181,151.33
182,151.83
183,152.42
184,152.94
185,152.99
186,152.84
187,152.57
188,152.6
189,152.57
190,152.04
191,152.04
192,152.13
193,152.45
194,153.08
195,153.57
196,153.85
197,153.95
198,154.05
199,154.13
200,154.08
201,154.07
202,153.92
203,153.6
204,153.58
205,152.88
206,152.29
207,151.3
208,150.15
209,148.92
210,147.78
211,147.05
212,146.54
213,146.38
214,146.0
215,145.36
216,144.83
217,143.78
218,142.65
219,141.56
220,140.3
221,139.31
222,138.58
223,137.83
224,137.35
225,136.71
226,136.04
227,135.51
228,134.84
229,134.41
230,133.91
231,133.93
232,133.94
233,134.54
234,135.17
235,135.86
236,136.45
237,137.04
238,137.73
239,138.51
240,139.29
241,140.28
242,141.69
243,143.06
244,144.45
245,145.9
246,147.54
247,149.28
248,150.83
249,152.39
250,153.88
251,155.31
252,156.8
253,157.86
254,159.2
255,160.33
256,161.25
257,162.05
258,162.83
259,163.29
260,163.82
261,164.42
262,165.07
263,165.71
264,166.19
265,166.63
266,167.85
267,169.01
268,169.73
269,170.45
270,171.16
271,171.57
272,171.62
273,171.65
274,172.11
275,172.64
276,173.26
277,173.84
278,174.29
279,175.12
280,175.72
281,176.39
282,177.12
283,178.01
284,179.05
285,180.4
286,181.68
287,183.05
288,184.37
289,185.68
290,186.9
291,187.87
292,188.05
293,188.15
294,188.4
295,188.81
296,189.26
297,189.97
298,190.94
299,191.84
300,192.4
301,193.02
302,193.32
303,193.54
304,193.78
305,194.06
306,194.52
307,194.92
308,195.06
309,195.11
310,195.12
311,195.15
312,195.2
313,195.26
314,195.58
315,195.82
316,196.07
317,196.48
318,196.99
319,197.77
320,198.66
321,199.29
322,199.89
323,200.26
324,200.66
325,201.08
326,201.77
327,202.54
328,203.63
329,204.49
330,205.31
331,205.85
332,206.41
333,206.71
334,207.32
335,208.19
336,209.01
337,209.45
338,209.89
339,210.3
340,210.57
341,211.09
342,211.39
343,211.77
344,211.98
345,211.9
346,211.73
347,211.8
348,211.81
349,211.98
350,212.08
351,212.23
352,212.03
353,211.67
354,211.27
355,211.59
356,212.13
357,212.92
358,213.56
359,214.41
360,215.11
361,215.84
362,216.4
363,217.13
364,217.76
365,218.3
366,218.83
367,219.15
368,219.76
369,220.21
370,220.76
371,221.26
372,221.52
373,221.62
374,221.83
375,221.84
376,221.62
377,221.41
378,221.35
379,221.45
380,221.29
381,220.75
382,219.85
383,218.86
384,218.08
385,217.27
386,216.55
387,215.44
388,214.73
389,214.1
390,213.57
391,213.15
392,212.99
393,212.85
394,212.58
395,212.45
396,212.39
397,212.55
398,212.93
399,213.2
400,213.3
401,213.58
402,213.92
403,214.18
404,214.44
405,214.48
406,214.48
407,214.45
408,214.55
409,214.46
410,214.22
411,214.08
412,213.84
413,213.77
414,213.4
415,213.02
416,212.64
417,212.34
418,211.79
419,211.23
420,210.77
421,210.16
422,209.47
423,208.85
424,208.25
425,207.6
426,207.2
427,206.62
428,206.14
429,205.72
430,205.01
431,204.36
432,203.9
433,203.62
434,203.41
435,203.46
436,203.67
437,203.84
438,204.01
439,204.33
440,204.77
441,205.09
442,205.53
443,205.84
444,206.38
445,206.86
446,207.42
447,208.02
448,208.81
449,209.41
450,209.95
451,210.7
452,211.34
453,212.15
454,213.24
455,215.08
456,217.5
457,219.59
458,221.69
459,223.6
460,225.45
461,227.25
462,228.95
463,230.83
464,232.75
465,234.49
466,236.42
467,238.48
468,240.43
469,242.16
470,243.93
471,245.74
472,247.46
473,249.21
474,250.77
475,252.26
