,0
0,120.24
1,120.9
2,121.42
3,122.01
4,122.49
5,122.87
6,123.25
7,123.5
8,123.77
9,124.02
10,124.31
11,124.55
12,125.02
13,125.63
14,126.5
15,127.52
16,128.42
17,129.41
18,130.42
19,131.91
20,133.22
21,134.57
22,135.9
23,137.13
24,137.99
25,138.73
26,139.65
27,140.56
28,141.65
29,142.61
30,143.72
31,144.87
32,146.14
33,147.32
34,148.43
35,149.63
36,150.61
37,151.67
38,152.54
39,153.24
40,153.78
41,154.25
42,154.74
43,154.99
44,155.25
45,155.29
46,155.48
47,155.59
48,155.62
49,155.83
50,156.06
51,156.18
52,156.07
53,155.88
54,155.58
55,155.5
56,155.16
57,154.93
58,154.68
59,154.73
60,154.8
61,154.99
62,154.86
63,154.73
64,154.69
65,154.74
66,154.85
67,155.06
68,155.21
69,155.35
70,155.32
71,155.23
72,155.29
73,155.29
74,155.47
75,155.67
76,156.22
77,156.77
78,157.5
79,158.25
80,159.08
81,159.67
82,160.58
83,161.4
84,162.0
85,162.33
86,162.42
87,162.36
88,162.59
89,162.44
90,161.95
91,161.63
92,160.95
93,159.89
94,158.88
95,158.13
96,157.52
97,156.76
98,155.78
99,154.83
100,153.64
101,152.33
102,151.07
103,149.91
104,148.64
105,147.29
106,145.85
107,144.36
108,142.81
109,141.3
110,140.1
111,139.05
112,138.25
113,137.4
114,136.83
115,136.53
116,136.56
117,136.41
118,136.99
119,137.65
120,138.17
121,138.46
122,138.5
123,138.74
124,139.06
125,139.38
126,139.86
127,140.54
128,141.14
129,141.65
130,142.19
131,142.88
132,143.69
133,144.54
134,145.29
135,146.16
136,146.89
137,147.6
138,148.31
139,149.11
140,149.6
141,150.05
142,150.33
143,150.65
144,150.46
145,150.32
146,150.25
147,150.47
148,150.94
149,151.2
150,151.61
151,151.86
152,151.93
153,151.89
154,151.81
155,151.79
156,151.79
157,151.37
158,150.7
159,150.09
160,149.68
161,149.05
162,148.33
163,147.86
164,147.65
165,147.42
166,147.45
167,147.53
168,147.58
169,147.56
170,147.58
171,147.95
172,148.11
173,148.16
174,148.16
175,148.48
176,148.69
177,149.15
178,149.76
179,150.42
180,151.19
181,152.03
182,152.95
183,154.28
184,155.79
185,157.17
186,158.47
187,159.89
188,161.43
189,162.66
190,163.41
191,164.24
192,165.16
193,166.13
194,167.27
195,168.29
196,169.31
197,170.02
198,170.84
199,171.8
200,172.64
201,173.27
202,173.67
203,174.01
204,174.43
205,174.76
206,174.96
207,174.96
208,174.71
209,174.46
210,174.19
211,173.85
212,173.48
213,173.16
214,172.73
215,172.25
216,171.96
217,171.59
218,171.13
219,170.75
220,170.21
221,169.98
222,169.81
223,169.59
224,169.48
225,169.25
226,168.87
227,168.44
228,168.32
229,168.16
230,167.86
231,167.62
232,167.4
233,167.42
234,167.63
235,167.92
236,168.06
237,168.47
238,168.88
239,169.14
240,169.46
241,169.75
242,170.46
243,170.81
244,170.87
245,170.85
246,170.82
247,170.51
248,170.13
249,169.86
250,169.7
251,169.35
252,169.15
253,169.14
254,168.98
255,168.83
256,168.66
257,168.36
258,167.96
259,167.41
260,166.83
261,166.19
262,165.7
263,165.15
264,164.46
265,163.83
266,163.2
267,162.73
268,161.99
269,161.47
270,161.11
271,160.66
272,160.28
273,159.95
274,159.68
275,159.15
276,158.47
277,157.86
278,157.4
279,156.98
280,156.48
281,155.87
282,155.39
283,155.06
284,154.93
285,154.93
286,155.0
287,155.05
288,155.33
289,155.56
290,155.9
291,156.11
292,156.33
293,156.48
294,156.62
295,156.92
296,157.27
297,157.66
298,158.07
299,158.51
300,158.85
301,159.43
302,160.07
303,160.69
304,161.11
305,161.4
306,161.87
307,162.34
308,162.49
309,162.46
310,162.34
311,162.31
312,162.21
313,162.06
314,161.58
315,161.1
316,160.6
317,160.21
318,159.66
319,159.16
320,158.62
321,158.05
322,157.36
323,156.89
324,156.45
325,155.91
326,155.38
327,154.84
328,154.11
329,153.54
330,153.23
331,152.86
332,152.44
333,152.22
334,152.25
335,152.39
336,152.49
337,152.48
338,152.45
339,152.47
340,152.54
341,152.5
342,152.49
343,152.38
344,152.35
345,152.34
346,152.32
347,152.31
348,152.46
349,152.47
350,152.47
351,152.54
352,152.49
353,152.53
354,152.71
355,152.93
356,153.06
357,153.14
358,153.05
359,152.81
360,152.6
361,152.45
362,152.41
363,152.42
364,152.6
365,152.76
366,152.91
367,153.14
368,153.29
369,153.7
370,154.12
371,154.33
372,154.56
373,154.73
374,154.87
375,154.95
376,155.05
377,155.22
378,155.65
379,156.02
380,156.17
381,156.19
382,156.25
383,156.44
384,156.75
385,157.02
386,157.28
387,157.46
388,157.62
389,157.74
390,157.73
391,157.7
392,157.75
393,157.98
394,158.33
395,158.5
396,158.72
397,159.07
398,159.28
399,159.62
400,159.92
401,160.27
402,160.58
403,160.88
404,161.05
405,161.22
406,161.5
407,161.85
408,162.19
409,162.45
410,162.86
411,163.3
412,163.65
413,163.98
414,164.28
415,164.39
416,164.54
417,164.61
418,164.83
419,164.91
420,164.71
421,164.5
422,164.41
423,164.34
424,164.48
425,164.56
426,164.67
427,164.66
428,164.44
429,164.03
430,163.6
431,163.15
432,162.35
433,161.59
434,160.71
435,159.8
436,158.96
437,158.08
438,157.26
439,156.42
440,155.48
441,154.68
442,153.88
443,153.19
444,152.36
445,151.57
446,150.89
447,150.31
448,149.61
449,148.86
450,148.03
451,147.17
452,146.29
453,145.54
454,144.96
455,144.52
456,144.15
457,143.84
458,143.84
459,143.76
460,143.69
461,143.76
462,143.65
463,143.51
464,143.48
465,143.75
466,144.07
467,144.43
468,144.82
469,145.11
470,145.39
471,145.66
472,146.07
473,146.35
474,146.56
475,146.76
