,0
0,137.3
1,137.17
2,136.95
3,136.81
4,136.73
5,136.71
6,136.68
7,136.4
8,135.98
9,135.64
10,135.18
11,135.05
12,135.03
13,135.1
14,135.24
15,135.38
16,135.65
17,135.76
18,135.65
19,135.41
20,135.34
21,135.14
22,134.44
23,133.78
24,133.24
25,133.01
26,132.8
27,132.59
28,132.49
29,132.71
30,132.81
31,133.01
32,133.16
33,133.5
34,133.97
35,134.43
36,134.87
37,135.16
38,135.49
39,135.7
40,135.8
41,135.85
42,135.82
43,135.7
44,135.76
45,135.86
46,135.61
47,135.42
48,135.43
49,135.51
50,135.34
51,134.82
52,134.4
53,133.73
54,132.89
55,132.07
56,131.14
57,130.18
58,129.24
59,128.5
60,127.5
61,126.5
62,125.47
63,124.48
64,123.35
65,122.29
66,121.5
67,120.67
68,120.03
69,119.38
70,118.71
71,117.9
72,117.32
73,116.48
74,115.55
75,114.77
76,114.29
77,114.07
78,113.71
79,113.67
80,113.68
81,113.62
82,113.73
83,113.76
84,113.66
85,113.23
86,112.85
87,112.5
88,112.39
89,112.07
90,111.82
91,111.77
92,111.6
93,111.51
94,111.57
95,111.72
96,111.78
97,111.89
98,111.79
99,111.9
100,112.19
101,112.45
102,112.7
103,112.91
104,112.98
105,112.84
106,112.72
107,112.47
108,112.26
109,111.95
110,111.91
111,112.02
112,112.32
113,112.37
114,112.28
115,112.24
116,112.47
117,112.57
118,112.76
119,112.86
120,112.75
121,112.84
122,113.07
123,113.3
124,113.62
125,113.92
126,114.17
127,114.33
128,114.44
129,114.55
130,114.78
131,114.99
132,115.33
133,115.6
134,115.69
135,115.88
136,115.87
137,115.98
138,115.82
139,115.88
140,115.94
141,116.06
142,115.93
143,115.69
144,115.32
145,115.11
146,114.85
147,114.57
148,114.29
149,113.78
150,113.31
151,112.78
152,112.13
153,111.52
154,110.73
155,109.86
156,109.03
157,108.23
158,107.38
159,106.62
160,106.08
161,105.44
162,104.75
163,104.06
164,103.72
165,103.42
166,103.13
167,102.76
168,102.3
169,101.89
170,101.54
171,101.14
172,100.68
173,100.27
174,99.88
175,99.7
176,99.51
177,99.44
178,99.43
179,99.48
180,99.25
181,98.97
182,98.83
183,98.66
184,98.37
185,97.96
186,97.32
187,96.91
188,96.63
189,96.26
190,95.7
191,95.42
192,95.22
193,95.11
194,95.13
195,95.2
196,95.23
197,95.16
198,95.13
199,95.02
200,94.93
201,94.84
202,94.69
203,94.46
204,94.4
205,94.27
206,94.48
207,94.76
208,94.79
209,94.8
210,94.93
211,95.15
212,95.53
213,95.88
214,96.14
215,96.21
216,96.32
217,96.11
218,95.83
219,95.59
220,95.18
221,94.81
222,94.39
223,93.95
224,93.68
225,93.34
226,92.98
227,92.62
228,92.24
229,91.94
230,91.44
231,90.95
232,90.61
233,90.29
234,90.1
235,89.96
236,89.86
237,89.87
238,90.05
239,90.21
240,90.31
241,90.48
242,90.76
243,91.18
244,91.49
245,91.84
246,92.33
247,93.04
248,93.71
249,94.36
250,95.1
251,95.53
252,95.75
253,96.0
254,96.33
255,96.61
256,96.95
257,97.22
258,97.33
259,97.36
260,97.34
261,97.32
262,97.25
263,97.13
264,96.82
265,96.46
266,96.24
267,96.18
268,96.09
269,95.87
270,95.77
271,95.52
272,95.14
273,94.5
274,94.09
275,93.83
276,93.54
277,93.63
278,93.87
279,94.27
280,94.6
281,95.02
282,95.35
283,95.62
284,95.88
285,96.24
286,96.6
287,97.09
288,97.68
289,98.25
290,98.8
291,99.5
292,100.05
293,100.51
294,100.87
295,101.39
296,101.95
297,102.48
298,103.01
299,103.52
300,103.95
301,104.31
302,104.53
303,104.61
304,104.71
305,104.81
306,104.96
307,105.03
308,105.02
309,105.13
310,105.27
311,105.44
312,105.7
313,105.84
314,106.12
315,106.58
316,107.08
317,107.39
318,107.89
319,108.49
320,109.19
321,109.78
322,110.4
323,111.04
324,111.67
325,112.41
326,113.16
327,113.86
328,114.51
329,115.27
330,116.08
331,116.79
332,117.56
333,118.14
334,118.79
335,119.44
336,120.17
337,120.87
338,121.48
339,122.16
340,122.62
341,122.87
342,122.98
343,123.24
344,123.35
345,123.25
346,123.08
347,122.98
348,122.75
349,122.64
350,122.6
351,122.54
352,122.36
353,122.2
354,121.95
355,121.7
356,121.48
357,121.42
358,121.35
359,121.43
360,121.5
361,121.49
362,121.32
363,121.17
364,121.09
365,120.98
366,121.2
367,121.44
368,121.9
369,122.27
370,122.63
371,123.01
372,123.4
373,123.71
374,124.19
375,124.64
376,125.01
377,125.32
378,125.68
379,126.14
380,126.65
381,127.09
382,127.52
383,127.63
384,127.74
385,127.91
386,128.24
387,128.54
388,128.95
389,129.37
390,129.88
391,130.4
392,130.67
393,130.91
394,131.03
395,131.1
396,131.24
397,131.55
398,131.87
399,132.15
400,132.35
401,132.61
402,132.91
403,133.23
404,133.56
405,133.65
406,133.68
407,133.74
408,133.78
409,133.83
410,133.91
411,134.03
412,133.98
413,134.14
414,134.24
415,134.41
416,134.42
417,134.49
418,134.58
419,134.67
420,134.85
421,135.03
422,135.11
423,135.21
424,135.32
425,135.42
