,0
0,137.33
1,137.19
2,136.97
3,136.83
4,136.75
5,136.72
6,136.68
7,136.39
8,135.96
9,135.58
10,135.11
11,134.97
12,134.93
13,134.98
14,135.14
15,135.31
16,135.6
17,135.71
18,135.61
19,135.38
20,135.31
21,135.11
22,134.43
23,133.82
24,133.3
25,133.1
26,132.93
27,132.75
28,132.66
29,132.9
30,133.02
31,133.21
32,133.37
33,133.74
34,134.23
35,134.74
36,135.2
37,135.51
38,135.86
39,136.1
40,136.22
41,136.28
42,136.27
43,136.18
44,136.25
45,136.37
46,136.11
47,135.93
48,135.94
49,135.99
50,135.81
51,135.27
52,134.83
53,134.17
54,133.34
55,132.54
56,131.64
57,130.71
58,129.81
59,129.06
60,128.04
61,127.01
62,125.98
63,124.98
64,123.84
65,122.76
66,121.97
67,121.14
68,120.47
69,119.8
70,119.12
71,118.32
72,117.72
73,116.87
74,115.92
75,115.15
76,114.69
77,114.47
78,114.12
79,114.05
80,114.04
81,113.94
82,114.03
83,114.03
84,113.91
85,113.48
86,113.1
87,112.78
88,112.67
89,112.37
90,112.13
91,112.09
92,111.92
93,111.84
94,111.91
95,112.07
96,112.14
97,112.25
98,112.16
99,112.28
100,112.59
101,112.86
102,113.11
103,113.35
104,113.44
105,113.33
106,113.23
107,113.02
108,112.85
109,112.57
110,112.56
111,112.68
112,112.99
113,113.04
114,112.96
115,112.91
116,113.13
117,113.23
118,113.41
119,113.51
120,113.41
121,113.5
122,113.74
123,113.97
124,114.3
125,114.63
126,114.89
127,115.07
128,115.19
129,115.3
130,115.53
131,115.74
132,116.07
133,116.33
134,116.42
135,116.61
136,116.61
137,116.72
138,116.58
139,116.66
140,116.72
141,116.86
142,116.75
143,116.52
144,116.17
145,115.97
146,115.73
147,115.46
148,115.19
149,114.69
150,114.22
151,113.7
152,113.04
153,112.43
154,111.63
155,110.75
156,109.9
157,109.09
158,108.24
159,107.47
160,106.92
161,106.28
162,105.56
163,104.86
164,104.52
165,104.2
166,103.91
167,103.54
168,103.08
169,102.68
170,102.32
171,101.91
172,101.44
173,101.01
174,100.61
175,100.42
176,100.21
177,100.12
178,100.09
179,100.14
180,99.87
181,99.58
182,99.43
183,99.25
184,98.93
185,98.51
186,97.85
187,97.41
188,97.12
189,96.72
190,96.14
191,95.83
192,95.62
193,95.49
194,95.49
195,95.52
196,95.53
197,95.46
198,95.4
199,95.27
200,95.17
201,95.07
202,94.9
203,94.67
204,94.61
205,94.47
206,94.7
207,94.98
208,95.01
209,95.03
210,95.16
211,95.39
212,95.78
213,96.13
214,96.39
215,96.48
216,96.61
217,96.42
218,96.15
219,95.92
220,95.52
221,95.17
222,94.76
223,94.32
224,94.06
225,93.73
226,93.38
227,93.04
228,92.67
229,92.39
230,91.91
231,91.44
232,91.11
233,90.81
234,90.63
235,90.52
236,90.44
237,90.47
238,90.69
239,90.89
240,91.04
241,91.26
242,91.58
243,92.02
244,92.34
245,92.71
246,93.22
247,93.95
248,94.61
249,95.27
250,96.0
251,96.43
252,96.66
253,96.89
254,97.21
255,97.47
256,97.79
257,98.04
258,98.13
259,98.14
260,98.1
261,98.05
262,97.96
263,97.81
264,97.47
265,97.06
266,96.79
267,96.69
268,96.55
269,96.3
270,96.17
271,95.89
272,95.49
273,94.84
274,94.41
275,94.15
276,93.88
277,93.97
278,94.22
279,94.64
280,95.0
281,95.43
282,95.78
283,96.06
284,96.32
285,96.7
286,97.06
287,97.56
288,98.16
289,98.74
290,99.3
291,100.01
292,100.57
293,101.04
294,101.41
295,101.95
296,102.52
297,103.05
298,103.59
299,104.1
300,104.55
301,104.91
302,105.13
303,105.21
304,105.31
305,105.41
306,105.56
307,105.62
308,105.61
309,105.73
310,105.88
311,106.05
312,106.31
313,106.46
314,106.75
315,107.2
316,107.7
317,108.01
318,108.51
319,109.1
320,109.81
321,110.39
322,111.02
323,111.67
324,112.3
325,113.05
326,113.8
327,114.52
328,115.16
329,115.92
330,116.72
331,117.42
332,118.17
333,118.76
334,119.4
335,120.05
336,120.78
337,121.48
338,122.1
339,122.79
340,123.24
341,123.51
342,123.64
343,123.91
344,124.02
345,123.93
346,123.75
347,123.67
348,123.44
349,123.35
350,123.31
351,123.25
352,123.07
353,122.9
354,122.65
355,122.39
356,122.18
357,122.11
358,122.02
359,122.11
360,122.16
361,122.16
362,121.97
363,121.81
364,121.72
365,121.6
366,121.82
367,122.05
368,122.5
369,122.86
370,123.2
371,123.56
372,123.94
373,124.23
374,124.69
375,125.1
376,125.47
377,125.76
378,126.12
379,126.57
380,127.08
381,127.52
382,127.94
383,128.07
384,128.19
385,128.37
386,128.72
387,129.01
388,129.44
389,129.88
390,130.41
391,130.95
392,131.25
393,131.51
394,131.66
395,131.74
396,131.91
397,132.24
398,132.58
399,132.87
400,133.09
401,133.36
402,133.67
403,134.01
404,134.34
405,134.45
406,134.49
407,134.57
408,134.64
409,134.69
410,134.79
411,134.92
412,134.87
413,135.05
414,135.15
415,135.32
416,135.34
417,135.41
418,135.5
419,135.59
420,135.78
421,135.97
422,136.06
423,136.19
424,136.31
425,136.44
426,136.49
427,136.41
428,136.39
429,136.44
430,135.97
431,135.54
432,135.23
433,135.02
434,134.76
435,134.68
436,134.57
437,134.47
438,134.45
439,134.35
440,134.34
441,134.17
442,134.09
443,133.9
444,133.74
445,133.63
446,133.52
447,133.39
448,133.36
449,133.29
450,133.25
451,133.21
452,133.18
453,133.25
454,133.19
455,132.95
456,133.21
457,133.49
458,133.83
459,134.05
460,134.56
461,134.91
462,135.14
463,135.27
464,135.36
465,135.39
466,135.42
467,135.63
468,135.78
469,136.01
470,136.26
471,136.5
472,136.66
473,136.84
474,136.96
475,137.05
