,0
0,160.74
1,160.74
2,160.68
3,160.51
4,160.3
5,160.05
6,159.84
7,159.66
8,159.46
9,159.22
10,159.02
11,158.73
12,158.75
13,158.76
14,158.77
15,158.92
16,158.99
17,159.07
18,159.16
19,159.09
20,159.03
21,159.02
22,158.94
23,158.94
24,159.14
25,159.31
26,159.54
27,159.7
28,159.98
29,160.29
30,160.64
31,160.97
32,161.37
33,161.83
34,162.36
35,163.03
36,163.62
37,164.35
38,164.74
39,165.22
40,165.88
41,166.46
42,166.96
43,167.34
44,167.62
45,168.06
46,168.44
47,168.73
48,169.24
49,169.68
50,169.95
51,170.2
52,170.54
53,170.9
54,171.13
55,171.44
56,171.67
57,171.79
58,171.84
59,171.93
60,171.89
61,171.77
62,171.78
63,171.74
64,171.72
65,171.73
66,171.54
67,171.4
68,171.28
69,171.12
70,170.9
71,170.77
72,170.79
73,170.97
74,170.89
75,170.77
76,170.73
77,170.7
78,170.44
79,170.2
80,170.04
81,169.82
82,169.78
83,169.77
84,169.65
85,169.41
86,169.23
87,168.97
88,168.74
89,168.53
90,168.32
91,168.18
92,168.18
93,168.28
94,168.45
95,168.74
96,168.89
97,168.93
98,168.86
99,168.79
100,168.74
101,168.7
102,168.6
103,168.55
104,168.58
105,168.53
106,168.49
107,168.47
108,168.46
109,168.35
110,168.28
111,168.21
112,168.23
113,168.37
114,168.46
115,168.59
116,168.73
117,168.78
118,168.73
119,168.52
120,168.18
121,167.9
122,167.71
123,167.49
124,167.22
125,166.88
126,166.6
127,166.19
128,165.71
129,165.26
130,164.86
131,164.55
132,164.24
133,164.0
134,163.65
135,163.39
136,163.21
137,163.12
138,162.9
139,162.6
140,162.27
141,161.86
142,161.61
143,161.23
144,160.85
145,160.53
146,160.29
147,160.01
148,159.82
149,159.5
150,159.34
151,159.19
152,159.12
153,159.13
154,159.16
155,159.09
156,159.08
157,159.09
158,159.09
159,158.98
160,158.93
161,158.87
162,158.79
163,158.64
164,158.69
165,158.77
166,158.75
167,158.71
168,158.53
169,158.53
170,158.51
171,158.55
172,158.51
173,158.55
174,158.56
175,158.68
176,158.7
177,158.84
178,158.96
179,159.12
180,159.39
181,159.73
182,160.05
183,160.32
184,160.59
185,160.8
186,160.96
187,161.22
188,161.57
189,161.97
190,162.22
191,162.57
192,162.84
193,163.28
194,163.72
195,164.12
196,164.57
197,164.98
198,165.45
199,165.87
200,166.32
201,166.83
202,167.32
203,167.64
204,167.94
205,168.28
206,168.57
207,168.86
208,168.94
209,169.11
210,169.3
211,169.54
212,169.85
213,170.18
214,170.47
215,170.65
216,170.81
217,170.89
218,171.17
219,171.43
220,171.64
221,171.83
222,171.97
223,172.03
224,172.09
225,172.08
226,172.13
227,172.23
228,172.29
229,172.44
230,172.35
231,172.22
232,172.07
233,171.89
234,171.79
235,171.61
236,171.33
237,171.1
238,170.76
239,170.36
240,169.93
241,169.63
242,169.38
243,169.11
244,168.6
245,168.06
246,167.61
247,167.17
248,166.69
249,166.19
250,165.66
251,165.18
252,164.55
253,163.88
254,163.28
255,162.6
256,162.0
257,161.36
258,160.87
259,160.31
260,159.77
261,159.27
262,158.79
263,158.32
264,157.78
265,157.23
266,156.68
267,156.14
268,155.69
269,155.2
270,154.91
271,154.49
272,154.03
273,153.61
274,153.25
275,152.96
276,152.65
277,152.27
278,152.03
279,151.76
280,151.37
281,151.0
282,150.79
283,150.65
284,150.33
285,150.15
286,149.99
287,149.88
288,149.92
289,150.02
290,150.49
291,150.96
292,151.41
293,151.79
294,152.11
295,152.56
296,153.04
297,153.59
298,153.94
299,154.3
300,154.66
301,154.97
302,155.34
303,155.82
304,156.15
305,156.49
306,156.96
307,157.43
308,157.9
309,158.26
310,158.65
311,159.0
312,159.33
313,159.56
314,159.74
315,159.83
316,159.65
317,159.44
318,159.25
319,159.06
320,158.85
321,158.58
322,158.29
323,158.0
324,157.88
325,157.62
326,157.31
327,157.05
328,156.77
329,156.41
330,156.24
331,156.11
332,155.95
333,155.8
334,155.67
335,155.61
336,155.57
337,155.54
338,155.56
339,155.7
340,155.85
341,156.01
342,156.18
343,156.45
344,156.73
345,156.95
346,157.18
347,157.38
348,157.65
349,157.98
350,158.23
351,158.55
352,158.83
353,159.01
354,159.18
355,159.33
356,159.38
357,159.39
358,159.46
359,159.48
360,159.43
361,159.39
362,159.71
363,160.06
364,160.43
365,160.75
366,161.08
367,161.44
368,161.84
369,161.91
370,162.04
371,162.28
372,162.56
373,162.79
374,163.13
375,163.42
376,163.79
377,164.14
378,164.61
379,165.14
380,165.65
381,166.17
382,166.78
383,167.3
384,167.58
385,167.84
386,168.05
387,168.29
388,168.25
389,168.08
390,167.86
391,167.58
392,167.21
393,166.75
394,166.27
395,165.96
396,165.66
397,165.35
398,165.1
399,164.93
400,164.63
401,164.32
402,163.93
403,163.6
404,163.21
405,162.85
406,162.47
407,162.06
408,161.59
409,161.12
410,160.78
411,160.47
412,160.18
413,159.85
414,159.43
415,159.1
416,158.82
417,158.59
418,158.47
419,158.39
420,158.22
