,0
0,146.16
1,146.01
2,145.62
3,145.26
4,144.79
5,144.34
6,143.89
7,143.31
8,142.72
9,142.13
10,141.79
11,141.55
12,141.52
13,141.3
14,140.99
15,140.79
16,140.49
17,140.0
18,139.42
19,138.75
20,138.2
21,137.51
22,136.74
23,136.07
24,135.35
25,134.81
26,134.24
27,133.65
28,133.06
29,132.65
30,132.19
31,131.68
32,131.2
33,130.82
34,130.43
35,130.02
36,129.57
37,129.23
38,128.8
39,128.53
40,128.38
41,128.12
42,127.98
43,127.97
44,128.09
45,128.09
46,127.85
47,127.77
48,127.88
49,127.97
50,127.93
51,127.55
52,127.1
53,126.51
54,125.89
55,125.22
56,124.51
57,123.81
58,123.16
59,122.7
60,122.11
61,121.53
62,121.04
63,120.48
64,119.87
65,119.31
66,118.86
67,118.39
68,117.98
69,117.51
70,117.02
71,116.66
72,116.61
73,116.53
74,116.39
75,116.31
76,116.33
77,116.53
78,116.65
79,116.97
80,117.29
81,117.53
82,117.92
83,118.19
84,118.27
85,118.0
86,117.71
87,117.36
88,117.12
89,116.92
90,116.74
91,116.66
92,116.51
93,116.36
94,116.18
95,116.04
96,115.95
97,115.88
98,115.44
99,114.99
100,114.49
101,113.89
102,113.32
103,112.71
104,112.12
105,111.47
106,110.84
107,110.08
108,109.49
109,108.94
110,108.58
111,108.44
112,108.45
113,108.51
114,108.54
115,108.58
116,108.7
117,108.69
118,108.74
119,108.79
120,108.64
121,108.58
122,108.49
123,108.54
124,108.64
125,108.73
126,108.94
127,109.25
128,109.52
129,109.82
130,110.21
131,110.57
132,110.92
133,111.31
134,111.45
135,111.59
136,111.63
137,111.78
138,111.76
139,111.74
140,111.72
141,111.73
142,111.7
143,111.66
144,111.6
145,111.66
146,111.89
147,112.09
148,112.4
149,112.42
150,112.48
151,112.58
152,112.53
153,112.45
154,112.22
155,111.86
156,111.4
157,110.9
158,110.36
159,109.89
160,109.57
161,109.22
162,108.81
163,108.41
164,108.34
165,108.23
166,108.04
167,107.78
168,107.47
169,107.07
170,106.73
171,106.53
172,106.29
173,106.21
174,106.18
175,106.23
176,106.26
177,106.47
178,106.7
179,106.91
180,107.25
181,107.74
182,108.33
183,108.99
184,109.81
185,110.63
186,111.38
187,112.33
188,113.36
189,114.27
190,114.94
191,115.86
192,116.87
193,117.9
194,118.94
195,120.1
196,121.17
197,122.08
198,122.89
199,123.6
200,124.26
201,125.01
202,125.68
203,126.22
204,126.8
205,127.31
206,127.72
207,127.97
208,128.17
209,128.38
210,128.56
211,128.75
212,129.01
213,129.13
214,129.21
215,129.16
216,129.14
217,128.96
218,128.79
219,128.72
220,128.64
221,128.57
222,128.54
223,128.49
224,128.49
225,128.46
226,128.41
227,128.39
228,128.47
229,128.56
230,128.56
231,128.69
232,128.89
233,129.23
234,129.7
235,130.08
236,130.26
237,130.39
238,130.46
239,130.61
240,130.84
241,131.21
242,131.65
243,132.07
244,132.42
245,132.75
246,133.12
247,133.44
248,133.82
249,134.21
250,134.64
251,135.0
252,135.23
253,135.44
254,135.71
255,135.91
256,136.15
257,136.27
258,136.37
259,136.37
260,136.21
261,136.16
262,136.33
263,136.6
264,136.91
265,137.11
266,137.21
267,137.38
268,137.48
269,137.42
270,137.37
271,137.01
272,136.79
273,136.5
274,136.26
275,135.75
276,135.27
277,134.64
278,134.14
279,133.75
280,133.17
281,132.56
282,131.86
283,131.36
284,130.86
285,130.47
286,130.1
287,129.75
288,129.35
289,128.83
290,128.28
291,127.75
292,127.3
293,126.77
294,126.27
295,125.95
296,126.03
297,126.42
298,126.75
299,127.17
300,127.44
301,127.94
302,128.35
303,128.84
304,129.18
305,129.46
306,129.92
307,130.5
308,131.06
309,131.38
310,131.62
311,131.94
312,132.29
313,132.56
314,132.84
315,133.16
316,133.41
317,133.7
318,133.94
319,134.32
320,134.73
321,135.12
322,135.09
323,134.97
324,134.74
325,134.53
326,134.38
327,134.27
328,134.08
329,134.08
330,134.27
331,134.35
332,134.39
333,134.37
334,134.44
335,134.63
336,134.89
337,135.09
338,135.25
339,135.51
340,135.76
341,136.01
342,136.32
343,136.48
344,136.65
345,136.68
346,136.67
347,136.64
348,136.85
349,137.18
350,137.61
351,137.98
352,138.26
353,138.55
354,138.94
355,139.35
356,139.68
357,140.09
358,140.52
359,141.04
360,141.56
361,142.1
362,142.72
363,143.24
364,143.91
365,144.46
366,145.05
367,145.6
368,146.19
369,146.92
370,147.66
371,148.31
372,148.99
373,149.69
374,150.23
375,150.67
376,150.98
377,151.32
378,151.74
379,152.14
380,152.35
381,152.46
382,152.48
383,152.48
384,152.47
385,152.21
386,151.97
387,151.7
388,151.36
389,151.07
390,150.72
391,150.4
392,149.96
393,149.61
394,149.17
395,148.68
396,148.16
397,147.73
398,147.27
399,146.91
400,146.51
401,146.26
402,146.07
403,145.91
404,145.7
405,145.45
406,145.31
407,145.14
408,145.06
409,144.91
410,144.76
411,144.81
412,144.72
413,144.59
414,144.43
415,144.27
416,144.08
417,144.01
418,143.99
419,143.99
420,144.06
421,144.14
422,144.34
423,144.53
424,144.69
425,144.72
426,144.71
427,144.51
428,144.26
429,144.0
430,143.71
431,143.47
432,143.07
433,142.79
434,142.55
435,142.36
436,142.24
437,142.1
438,142.11
439,142.16
440,142.27
441,142.35
442,142.48
443,142.51
444,142.65
445,142.81
446,143.01
447,143.28
448,143.48
449,143.67
450,143.9
451,144.19
452,144.49
453,144.89
454,145.4
455,145.97
456,146.6
457,147.26
458,148.11
459,148.83
460,149.51
461,150.26
462,150.94
463,151.61
464,152.25
465,153.02
466,153.8
467,154.64
468,155.48
469,156.28
470,157.0
471,157.68
472,158.33
473,158.96
474,159.61
475,160.27
