,0
0,365.04
1,365.46
2,365.44
3,365.3
4,365.46
5,365.91
6,366.63
7,366.91
8,367.01
9,366.97
10,366.55
11,366.67
12,366.99
13,366.87
14,366.47
15,366.26
16,366.35
17,365.82
18,364.39
19,361.8
20,359.59
21,357.02
22,354.29
23,351.95
24,350.16
25,348.96
26,347.9
27,346.71
28,345.62
29,344.85
30,343.64
31,342.41
32,341.12
33,340.24
34,340.15
35,339.92
36,339.77
37,339.57
38,339.49
39,339.58
40,339.93
41,340.15
42,340.6
43,341.25
44,342.52
45,344.09
46,345.23
47,346.48
48,347.98
49,349.39
50,350.53
51,350.8
52,351.13
53,350.92
54,351.54
55,352.68
56,353.5
57,353.89
58,354.24
59,354.94
60,354.42
61,353.87
62,352.77
63,351.32
64,349.78
65,348.19
66,347.42
67,346.67
68,346.16
69,345.72
70,345.21
71,344.48
72,344.13
73,343.51
74,342.79
75,342.2
76,341.95
77,342.2
78,342.3
79,343.02
80,342.88
81,342.16
82,342.19
83,342.31
84,341.98
85,340.69
86,339.41
87,338.46
88,338.36
89,337.74
90,337.16
91,337.01
92,336.38
93,335.88
94,335.57
95,335.3
96,334.77
97,334.25
98,333.0
99,332.14
100,331.17
101,330.04
102,328.78
103,327.47
104,326.24
105,324.73
106,323.44
107,322.12
108,320.94
109,319.77
110,319.46
111,319.73
112,320.78
113,321.63
114,322.37
115,323.62
116,324.88
117,326.24
118,327.69
119,329.0
120,329.72
121,330.7
122,332.16
123,333.51
124,334.93
125,336.03
126,337.34
127,338.52
128,339.67
129,341.08
130,342.41
131,343.65
132,344.95
133,346.06
134,346.55
135,346.93
136,346.91
137,347.03
138,346.47
139,345.91
140,345.29
141,344.64
142,343.96
143,342.82
144,341.68
145,340.85
146,340.13
147,339.43
148,338.76
149,337.54
150,336.53
151,335.41
152,333.95
153,332.56
154,330.99
155,328.88
156,326.56
157,324.21
158,321.64
159,319.06
160,316.95
161,314.89
162,312.78
163,310.72
164,309.55
165,308.59
166,307.52
167,306.41
168,305.16
169,303.78
170,302.25
171,300.95
172,299.39
173,297.85
174,296.42
175,295.38
176,294.27
177,293.74
178,293.39
179,293.31
180,293.57
181,294.16
182,295.36
183,296.7
184,298.36
185,299.65
186,300.4
187,301.62
188,303.19
189,304.56
190,305.12
191,306.41
192,307.93
193,309.63
194,311.6
195,313.77
196,315.98
197,317.88
198,319.77
199,321.67
200,323.51
201,325.56
202,327.4
203,328.96
204,330.9
205,332.78
206,334.33
207,335.73
208,336.42
209,337.15
210,337.84
211,338.95
212,340.82
213,342.3
214,343.53
215,344.32
216,345.47
217,345.62
218,345.76
219,346.0
220,345.93
221,345.96
222,346.14
223,346.08
224,346.46
225,346.56
226,346.49
227,346.64
228,346.92
229,347.87
230,348.45
231,348.87
232,349.57
233,350.5
234,351.59
235,352.67
236,353.37
237,354.12
238,354.83
239,355.67
240,356.56
241,357.96
242,359.18
243,360.45
244,361.55
245,362.53
246,363.79
247,365.01
248,366.09
249,367.3
250,368.35
251,369.24
252,370.16
253,370.63
254,371.38
255,371.47
256,371.42
257,371.28
258,370.64
259,369.73
260,368.95
261,368.2
262,367.6
263,367.12
264,366.32
265,365.36
266,364.43
267,363.63
268,363.23
269,362.69
270,362.23
271,361.62
272,360.58
273,359.43
274,358.62
275,357.67
276,356.64
277,355.85
278,355.04
279,354.57
280,353.81
281,353.22
282,352.53
283,352.03
284,351.77
285,351.91
286,352.08
287,352.38
288,352.89
289,353.21
290,353.56
291,353.88
292,354.08
293,354.2
294,354.03
295,354.42
296,354.95
297,355.68
298,356.66
299,357.76
300,358.63
301,359.69
302,360.74
303,361.48
304,362.17
305,362.92
306,364.05
307,365.05
308,366.0
309,366.8
310,367.66
311,368.64
312,369.67
313,370.44
314,371.07
315,371.84
316,372.54
317,373.38
318,374.15
319,375.02
320,376.18
321,376.79
322,377.25
323,377.29
324,377.14
325,377.04
326,377.01
327,376.72
328,376.34
329,376.43
330,376.7
331,376.58
332,376.58
333,376.25
334,375.93
335,375.71
336,375.68
337,375.17
338,374.76
339,374.61
340,374.38
341,374.05
342,373.83
343,373.61
344,373.59
345,373.23
346,372.84
347,372.63
348,372.75
349,373.5
350,374.48
351,375.42
352,376.16
353,376.99
354,378.06
355,379.11
356,380.16
357,381.33
358,382.22
359,383.42
360,384.62
361,385.75
362,386.64
363,387.67
364,388.84
365,389.71
366,390.72
367,391.51
368,392.17
369,392.83
370,393.51
371,394.01
372,394.46
373,394.91
374,395.29
375,395.3
376,395.31
377,395.43
378,395.5
379,395.88
380,395.97
381,395.83
382,395.52
383,395.2
384,394.85
385,394.68
386,394.79
387,394.77
388,394.95
389,395.33
390,395.6
391,396.08
392,396.47
393,397.28
394,397.99
395,398.72
396,399.39
397,400.34
398,401.25
399,402.21
400,402.95
401,403.72
402,404.51
403,405.28
404,405.99
405,406.45
406,406.79
407,407.09
408,407.47
409,407.59
410,407.68
411,407.74
412,407.55
413,407.48
414,407.02
415,406.5
416,405.85
417,405.26
418,404.6
419,404.04
420,403.61
421,403.12
422,402.51
423,402.01
424,401.46
425,400.59
