,0
0,75.39
1,75.38
2,75.36
3,75.28
4,75.2
5,75.11
6,74.92
7,74.73
8,74.55
9,74.36
10,74.16
11,73.86
12,73.68
13,73.53
14,73.4
15,73.32
16,73.24
17,73.19
18,73.09
19,72.94
20,72.81
21,72.66
22,72.53
23,72.51
24,72.54
25,72.58
26,72.68
27,72.8
28,72.92
29,73.04
30,73.18
31,73.3
32,73.48
33,73.68
34,73.89
35,74.16
36,74.41
37,74.8
38,75.08
39,75.37
40,75.71
41,76.11
42,76.52
43,76.86
44,77.18
45,77.54
46,77.89
47,78.22
48,78.52
49,78.84
50,79.11
51,79.35
52,79.59
53,79.78
54,79.98
55,80.32
56,80.65
57,80.91
58,81.12
59,81.39
60,81.63
61,81.85
62,82.05
63,82.21
64,82.41
65,82.68
66,82.87
67,83.08
68,83.27
69,83.47
70,83.71
71,83.98
72,84.23
73,84.54
74,84.84
75,85.05
76,85.3
77,85.57
78,85.78
79,85.98
80,86.18
81,86.23
82,86.3
83,86.36
84,86.4
85,86.35
86,86.24
87,86.12
88,86.03
89,85.95
90,85.81
91,85.73
92,85.72
93,85.73
94,85.76
95,85.88
96,85.9
97,85.89
98,85.82
99,85.76
100,85.75
101,85.81
102,85.83
103,85.89
104,86.03
105,86.19
106,86.36
107,86.54
108,86.73
109,86.86
110,87.05
111,87.17
112,87.38
113,87.59
114,87.81
115,88.04
116,88.29
117,88.36
118,88.36
119,88.23
120,88.03
121,87.78
122,87.59
123,87.41
124,87.31
125,87.2
126,87.07
127,86.92
128,86.84
129,86.76
130,86.63
131,86.53
132,86.45
133,86.38
134,86.24
135,86.16
136,86.07
137,86.1
138,86.06
139,85.97
140,85.84
141,85.62
142,85.47
143,85.33
144,85.22
145,85.16
146,85.16
147,85.15
148,85.19
149,85.15
150,85.12
151,85.05
152,85.02
153,84.96
154,84.8
155,84.6
156,84.51
157,84.38
158,84.22
159,84.01
160,83.87
161,83.77
162,83.65
163,83.58
164,83.57
165,83.63
166,83.67
167,83.78
168,83.93
169,84.14
170,84.31
171,84.55
172,84.75
173,85.03
174,85.29
175,85.58
176,85.8
177,86.13
178,86.49
179,86.9
180,87.36
181,87.93
182,88.42
183,88.96
184,89.46
185,89.97
186,90.41
187,90.88
188,91.4
189,91.91
190,92.41
191,92.91
192,93.3
193,93.77
194,94.11
195,94.44
196,94.88
197,95.32
198,95.82
199,96.29
200,96.75
201,97.28
202,97.85
203,98.34
204,98.82
205,99.27
206,99.7
207,100.08
208,100.38
209,100.71
210,101.13
211,101.47
212,101.85
213,102.29
214,102.74
215,103.07
216,103.38
217,103.69
218,104.15
219,104.58
220,105.04
221,105.51
222,105.91
223,106.19
224,106.41
225,106.59
226,106.77
227,106.97
228,107.19
229,107.44
230,107.48
231,107.54
232,107.61
233,107.7
234,107.85
235,107.89
236,107.84
237,107.91
238,107.98
239,107.97
240,107.85
241,107.81
242,107.73
243,107.57
244,107.44
245,107.3
246,107.14
247,106.83
248,106.48
249,106.22
250,106.03
251,105.87
252,105.7
253,105.57
254,105.42
255,105.19
256,105.09
257,104.93
258,104.87
259,104.77
260,104.65
261,104.66
262,104.7
263,104.68
264,104.54
265,104.42
266,104.36
267,104.3
268,104.46
269,104.68
270,104.76
271,104.77
272,104.79
273,104.88
274,105.06
275,105.22
276,105.31
277,105.24
278,105.23
279,105.15
280,104.98
281,104.84
282,104.76
283,104.8
284,104.68
285,104.55
286,104.46
287,104.33
288,104.32
289,104.33
290,104.57
291,104.81
292,105.05
293,105.29
294,105.42
295,105.61
296,105.9
297,106.21
298,106.51
299,106.85
300,107.12
301,107.41
302,107.74
303,108.21
304,108.49
305,108.86
306,109.27
307,109.73
308,110.22
309,110.65
310,111.09
311,111.57
312,112.04
313,112.46
314,112.8
315,113.13
316,113.33
317,113.48
318,113.61
319,113.7
320,113.7
321,113.7
322,113.67
323,113.6
324,113.56
325,113.49
326,113.37
327,113.14
328,112.93
329,112.72
330,112.69
331,112.61
332,112.4
333,112.11
334,111.83
335,111.54
336,111.26
337,110.97
338,110.63
339,110.36
340,110.06
341,109.81
342,109.62
343,109.54
344,109.52
345,109.48
346,109.49
347,109.4
348,109.39
349,109.5
350,109.56
351,109.64
352,109.69
353,109.71
354,109.72
355,109.67
356,109.5
357,109.27
358,109.2
359,109.11
360,108.98
361,108.82
362,108.8
363,108.84
364,108.84
365,108.77
366,108.69
367,108.5
368,108.32
369,108.05
370,107.7
371,107.42
372,107.13
373,106.85
374,106.57
375,106.23
376,105.91
377,105.61
378,105.44
379,105.44
380,105.39
381,105.39
382,105.45
