,0
0,302.53
1,301.64
2,300.63
3,299.82
4,299.11
5,298.6
6,298.06
7,297.17
8,296.05
9,295.43
10,294.32
11,294.03
12,293.83
13,293.75
14,293.73
15,293.9
16,294.2
17,293.97
18,293.2
19,291.99
20,291.17
21,290.31
22,289.08
23,288.16
24,287.47
25,287.25
26,286.92
27,286.53
28,286.44
29,286.8
30,286.99
31,287.16
32,287.31
33,288.07
34,289.11
35,290.1
36,291.16
37,291.72
38,292.39
39,292.85
40,293.02
41,293.06
42,293.1
43,292.93
44,293.05
45,293.5
46,293.17
47,292.97
48,293.17
49,293.55
50,293.31
51,292.54
52,291.99
53,290.85
54,290.24
55,289.7
56,288.86
57,288.12
58,287.29
59,286.51
60,285.07
61,283.59
62,281.93
63,280.42
64,278.36
65,276.26
66,274.81
67,273.3
68,272.16
69,271.0
70,269.93
71,268.62
72,267.92
73,267.15
74,266.31
75,265.56
76,265.3
77,265.24
78,264.95
79,265.14
80,264.66
81,263.9
82,263.73
83,263.22
84,262.6
85,261.23
86,259.92
87,258.8
88,258.33
89,257.43
90,256.96
91,256.92
92,256.64
93,256.56
94,256.62
95,257.03
96,257.16
97,257.45
98,257.31
99,257.3
100,257.32
101,257.33
102,257.14
103,256.98
104,256.68
105,255.89
106,255.23
107,254.68
108,254.08
109,253.47
110,253.27
111,253.62
112,254.48
113,255.08
114,255.34
115,255.61
116,256.41
117,257.27
118,258.32
119,259.04
120,259.31
121,259.98
122,261.01
123,261.87
124,262.76
125,263.62
126,264.62
127,265.41
128,266.3
129,267.28
130,268.35
131,269.8
132,271.25
133,272.49
134,273.31
135,274.17
136,274.81
137,275.46
138,275.61
139,275.81
140,275.99
141,276.37
142,276.08
143,275.33
144,274.31
145,273.57
146,272.97
147,272.31
148,271.69
149,270.54
150,269.49
151,268.11
152,266.44
153,264.85
154,262.99
155,260.94
156,259.0
157,256.97
158,254.97
159,253.08
160,251.68
161,250.2
162,248.57
163,247.12
164,246.39
165,245.78
166,245.17
167,244.13
168,242.95
169,241.78
170,240.74
171,239.83
172,238.69
173,237.67
174,236.6
175,236.01
176,235.4
177,235.27
178,235.37
179,235.6
180,235.18
181,234.72
182,234.52
183,234.3
184,233.95
185,233.33
186,232.31
187,231.7
188,231.5
189,231.05
190,230.13
191,229.89
192,229.9
193,230.18
194,230.66
195,231.31
196,231.94
197,232.23
198,232.77
199,233.08
200,233.45
201,233.9
202,234.14
203,234.1
204,234.42
205,234.6
206,235.53
207,236.45
208,236.83
209,237.32
210,238.08
211,239.07
212,240.55
213,241.93
214,243.07
215,243.86
216,244.66
217,244.59
218,244.41
219,244.55
220,244.43
221,244.31
222,244.13
223,243.88
224,243.84
225,243.64
226,243.33
227,242.63
228,241.89
229,241.3
230,240.24
231,239.25
232,238.52
233,238.07
234,237.85
235,237.69
236,237.25
237,236.74
238,236.27
239,235.72
240,235.14
241,234.82
242,234.95
243,235.24
244,235.28
245,235.41
246,235.96
247,236.95
248,237.76
249,238.61
250,239.62
251,240.65
252,241.57
253,242.86
254,244.73
255,246.53
256,248.17
257,249.46
258,250.34
259,250.9
260,251.39
261,251.97
262,252.5
263,253.22
264,253.59
265,253.76
266,254.13
267,254.71
268,255.08
269,255.33
270,255.77
271,255.97
272,255.83
273,255.45
274,255.57
275,255.92
276,256.28
277,256.79
278,257.14
279,257.58
280,257.64
281,257.88
282,258.31
283,258.85
284,259.51
285,260.57
286,261.81
287,263.1
288,264.55
289,265.96
290,267.3
291,269.03
292,270.49
293,271.55
294,272.56
295,273.93
296,275.17
297,276.56
298,278.08
299,279.4
300,280.37
301,281.15
302,281.36
303,281.2
304,282.09
305,283.28
306,284.61
307,285.68
308,286.63
309,287.7
310,288.85
311,290.0
312,290.94
313,291.66
314,292.62
315,293.49
316,294.43
317,295.12
318,295.97
319,297.19
320,298.55
321,299.67
322,301.04
323,302.07
324,303.07
325,304.53
326,306.35
327,308.11
328,309.92
329,312.13
330,313.69
331,314.91
332,315.95
333,316.65
334,317.44
335,318.32
336,319.36
337,320.29
338,321.42
339,323.02
340,324.19
341,325.29
342,326.26
343,327.44
344,328.36
345,328.92
346,329.54
347,330.21
348,330.74
349,331.71
350,332.63
351,333.1
352,333.42
353,333.65
354,333.78
355,333.78
356,333.85
357,334.1
358,334.55
359,335.4
360,336.71
361,337.8
362,338.37
363,338.74
364,339.03
365,339.14
366,338.97
367,338.69
368,338.87
369,338.73
370,338.78
371,338.74
372,338.43
373,338.12
374,337.93
375,337.38
376,336.78
377,336.19
378,335.42
379,334.91
380,334.53
381,334.09
382,333.34
383,332.36
384,331.5
385,330.63
386,329.41
387,328.09
388,327.2
389,326.46
390,325.85
391,325.03
392,324.67
393,324.62
394,324.46
395,324.37
396,324.15
397,324.44
398,324.9
399,325.08
400,325.33
401,325.84
402,326.18
403,326.44
404,326.76
405,326.66
406,326.59
407,326.46
408,326.49
409,326.32
410,325.97
411,325.63
412,325.2
413,325.27
414,324.91
415,324.72
416,324.38
417,324.32
418,324.4
419,324.39
420,324.34
421,324.28
422,324.19
423,324.13
424,323.91
425,323.84
426,323.66
427,323.2
428,323.16
429,323.22
430,323.68
431,323.95
432,324.35
433,325.13
434,325.92
435,327.22
436,328.58
437,330.09
438,331.65
439,333.14
440,335.05
441,336.65
442,338.58
443,340.1
444,341.65
445,343.26
446,344.97
447,346.49
448,348.42
449,350.0
450,351.79
451,353.64
452,355.48
453,357.66
454,359.59
455,361.48
456,362.81
457,364.42
458,366.09
459,367.32
460,368.61
461,369.72
462,370.63
463,371.49
464,372.21
465,372.44
466,372.76
467,373.25
468,373.41
469,373.59
470,373.75
471,373.94
472,373.88
473,374.04
474,373.96
475,374.07
