,0
0,254.8
1,253.49
2,252.15
3,250.75
4,249.25
5,248.96
6,248.62
7,247.35
8,245.67
9,244.45
10,242.7
11,241.87
12,241.52
13,241.61
14,241.65
15,241.98
16,242.52
17,242.58
18,242.35
19,241.85
20,241.28
21,240.52
22,239.32
23,238.31
24,237.8
25,237.71
26,237.58
27,237.49
28,237.84
29,238.83
30,239.35
31,239.99
32,240.45
33,241.88
34,243.8
35,245.46
36,247.34
37,248.48
38,249.71
39,250.31
40,250.67
41,250.66
42,250.43
43,250.04
44,250.1
45,250.37
46,249.69
47,249.35
48,249.39
49,249.45
50,248.38
51,246.47
52,244.6
53,241.65
54,238.46
55,235.87
56,233.14
57,229.83
58,226.73
59,223.7
60,219.93
61,216.46
62,212.49
63,208.99
64,204.87
65,201.12
66,198.55
67,195.88
68,193.98
69,192.07
70,190.39
71,188.27
72,186.59
73,184.43
74,182.43
75,181.03
76,180.5
77,180.18
78,179.57
79,179.88
80,180.0
81,179.62
82,179.76
83,179.42
84,178.83
85,177.54
86,176.31
87,175.22
88,175.06
89,174.3
90,174.01
91,174.16
92,173.64
93,173.25
94,172.84
95,172.82
96,172.38
97,171.94
98,171.27
99,170.65
100,169.88
101,168.83
102,167.7
103,166.61
104,165.4
105,163.67
106,162.3
107,160.99
108,159.78
109,158.8
110,158.39
111,158.71
112,159.64
113,160.21
114,160.4
115,160.76
116,161.49
117,162.03
118,162.73
119,163.58
120,164.12
121,164.89
122,166.14
123,167.46
124,168.47
125,169.46
126,170.66
127,171.74
128,172.84
129,174.06
130,175.5
131,176.75
132,178.13
133,179.08
134,179.57
135,179.99
136,180.08
137,180.12
138,179.43
139,178.85
140,178.25
141,177.7
142,176.22
143,174.55
144,172.74
145,170.93
146,169.19
147,167.46
148,165.65
149,163.4
150,161.61
151,160.01
152,158.13
153,156.38
154,154.26
155,152.04
156,149.62
157,147.38
158,144.87
159,142.78
160,141.13
161,139.23
162,137.27
163,135.2
164,134.01
165,133.02
166,132.12
167,130.96
168,130.09
169,129.3
170,128.55
171,127.88
172,126.81
173,125.85
174,124.88
175,124.46
176,124.1
177,123.93
178,123.7
179,123.65
180,123.54
181,123.51
182,124.0
183,124.38
184,124.88
185,125.19
186,125.45
187,126.2
188,127.03
189,127.83
190,128.07
191,129.04
192,130.27
193,131.89
194,133.81
195,135.48
196,137.08
197,138.41
198,139.98
199,141.57
200,143.32
201,144.94
202,146.34
203,147.56
204,149.22
205,150.71
206,152.25
207,153.57
208,154.4
