,0
0,152.59
1,152.5
2,152.3
3,152.04
4,151.85
5,151.67
6,151.61
7,151.68
8,151.74
9,151.76
10,151.65
11,151.5
12,151.4
13,151.17
14,150.83
15,150.56
16,150.37
17,150.26
18,150.03
19,149.53
20,149.1
21,148.56
22,147.85
23,147.15
24,146.74
25,146.35
26,146.0
27,145.65
28,145.42
29,145.26
30,145.04
31,144.83
32,144.64
33,144.42
34,144.26
35,144.13
36,144.02
37,144.14
38,143.99
39,143.94
40,144.07
41,144.25
42,144.46
43,144.62
44,144.85
45,145.31
46,145.67
47,146.11
48,146.71
49,147.39
50,147.87
51,148.32
52,148.81
53,149.19
54,149.54
55,150.0
56,150.38
57,150.68
58,150.84
59,151.0
60,150.99
61,151.09
62,151.22
63,151.24
64,151.22
65,151.15
66,151.07
67,150.96
68,150.8
69,150.3
70,149.69
71,149.08
72,148.61
73,148.3
74,147.81
75,147.21
76,146.7
77,146.21
78,145.59
79,145.12
80,144.63
81,143.96
82,143.46
83,142.97
84,142.47
85,141.9
86,141.3
87,140.49
88,139.64
89,138.85
90,138.1
91,137.53
92,136.97
93,136.5
94,136.12
95,136.06
96,136.03
97,136.04
98,136.0
99,135.94
100,135.92
101,135.91
102,135.81
103,135.7
104,135.72
105,135.63
106,135.62
107,135.62
108,135.55
109,135.48
110,135.54
111,135.52
112,135.65
113,136.03
114,136.48
115,136.92
116,137.44
117,137.91
118,137.96
119,138.01
120,137.96
121,138.05
122,138.22
123,138.35
124,138.44
125,138.43
126,138.53
127,138.53
128,138.59
129,138.76
130,138.94
131,139.14
132,139.32
133,139.52
134,139.71
135,139.86
136,139.96
137,140.15
138,140.21
139,140.16
140,140.02
141,139.78
142,139.56
143,139.16
144,139.04
145,138.84
146,138.69
147,138.51
148,138.38
149,138.14
150,137.89
151,137.61
152,137.31
153,137.04
154,136.7
155,136.23
156,135.72
157,135.22
158,134.69
159,134.04
160,133.4
161,132.74
162,132.01
163,131.38
164,130.93
165,130.46
166,129.96
167,129.45
168,128.86
169,128.39
170,127.97
171,127.55
172,127.08
173,126.61
174,126.14
175,125.82
176,125.43
177,125.13
178,124.84
179,124.61
180,124.43
181,124.32
182,124.32
183,124.32
184,124.33
185,124.4
186,124.43
187,124.68
188,125.1
189,125.44
190,125.71
191,126.19
192,126.77
193,127.42
194,128.08
195,128.76
196,129.41
197,130.05
198,130.8
199,131.52
200,132.22
201,132.9
202,133.63
203,134.26
204,135.0
205,135.68
206,136.38
207,137.02
208,137.55
209,138.13
210,138.74
211,139.41
212,140.17
213,140.84
214,141.45
215,141.98
216,142.5
217,142.84
218,143.2
219,143.6
220,144.04
221,144.44
222,144.93
223,145.28
224,145.59
225,145.81
226,146.0
227,146.2
228,146.34
229,146.66
230,146.77
231,146.86
232,146.87
233,146.89
234,146.95
235,146.96
236,146.78
237,146.49
238,146.17
239,145.79
240,145.41
241,145.09
242,144.78
243,144.45
244,144.13
245,143.81
246,143.51
247,143.15
248,142.76
249,142.4
250,141.96
251,141.51
252,141.0
253,140.51
254,140.16
255,139.65
256,139.2
257,138.68
258,138.31
259,137.98
260,137.62
261,137.27
262,137.04
263,136.91
264,136.71
265,136.58
266,136.51
267,136.48
268,136.45
269,136.34
