,0
0,329.28
1,325.85
2,322.71
3,319.78
4,317.36
5,316.02
6,314.29
7,311.88
8,308.69
9,306.0
10,302.33
11,299.39
12,297.01
13,295.39
14,294.37
15,293.73
16,292.72
17,291.45
18,291.13
19,290.85
20,289.85
21,288.66
22,287.25
23,285.65
24,284.09
25,283.23
26,282.59
27,282.24
28,282.46
29,284.17
30,285.76
31,286.93
32,288.05
33,290.81
34,293.92
35,297.41
36,301.43
37,305.07
38,309.37
39,312.21
40,314.53
41,316.81
42,319.19
43,320.96
44,323.3
45,325.83
46,327.45
47,329.58
48,332.56
49,335.26
50,337.92
51,340.03
52,341.65
53,341.28
54,340.77
55,339.28
56,337.63
57,336.21
58,334.91
59,333.12
60,330.22
61,327.3
62,323.57
63,319.92
64,314.65
65,309.99
66,306.45
67,302.18
68,298.8
69,295.39
70,291.83
71,287.23
72,283.26
73,278.44
74,273.7
75,270.25
76,267.05
77,263.89
78,260.58
79,259.28
80,257.0
81,254.92
82,252.94
83,250.67
84,248.23
85,244.95
86,242.05
87,239.45
88,238.32
89,236.26
90,235.19
91,234.97
92,234.18
93,233.94
94,233.62
95,233.94
96,233.8
97,234.07
98,234.05
99,234.74
100,235.26
101,235.1
102,234.77
103,234.69
104,234.21
105,233.24
106,233.34
107,233.34
108,233.38
109,233.33
110,233.56
111,234.14
112,236.3
113,238.27
114,239.63
115,241.39
116,243.63
117,245.31
118,247.66
119,250.05
120,252.16
121,254.57
122,257.49
123,259.79
124,262.32
125,264.48
126,266.84
127,268.95
128,271.08
129,273.33
130,276.11
131,278.84
132,281.37
133,283.62
134,285.53
135,287.68
136,289.67
137,291.53
138,292.16
139,292.65
140,293.0
141,293.65
142,293.74
143,293.33
144,292.45
145,291.93
146,291.5
147,291.2
148,291.04
149,291.19
150,291.66
151,292.44
152,292.79
153,293.65
154,293.99
155,293.66
156,292.97
157,291.87
158,290.83
159,290.3
160,290.22
161,289.14
162,287.91
163,285.85
164,284.36
165,282.67
166,281.15
167,279.13
168,277.04
169,274.98
170,272.78
171,270.39
172,267.15
173,264.06
174,260.82
175,258.13
176,254.46
177,251.02
178,247.48
179,244.15
180,240.92
181,238.0
182,235.69
183,233.86
184,232.0
