,0
0,459.33
1,459.17
2,459.02
3,458.59
4,458.76
5,459.5
6,460.06
7,460.11
8,459.89
9,459.71
10,459.37
11,459.18
12,459.67
13,460.15
14,460.72
15,461.58
16,462.69
17,464.2
18,465.14
19,465.42
20,465.91
21,466.77
22,466.94
23,466.96
24,467.57
25,468.17
26,468.73
27,469.09
28,469.93
29,471.0
30,472.13
31,473.51
32,474.8
33,476.46
34,478.12
35,480.36
36,482.3
37,484.48
38,485.82
39,487.44
40,489.58
41,491.57
42,493.85
43,495.36
44,497.17
45,499.61
46,501.51
47,503.16
48,505.22
49,507.4
50,508.88
51,509.73
52,510.38
53,510.67
54,510.9
55,511.62
56,511.82
57,511.35
58,510.85
59,510.64
60,510.04
61,509.25
62,508.36
63,507.44
64,506.54
65,505.08
66,503.34
67,501.55
68,499.55
69,497.07
70,495.0
71,493.08
72,491.47
73,490.1
74,488.62
75,486.97
76,485.83
77,484.93
78,483.74
79,482.93
80,481.87
81,480.59
82,480.16
83,479.87
84,479.49
85,478.63
86,477.69
87,476.27
88,475.44
89,474.3
90,473.08
91,473.2
92,473.43
93,473.89
94,474.08
95,475.43
96,476.62
97,477.82
98,478.69
99,479.51
100,479.84
101,480.4
102,480.74
103,481.63
104,482.62
105,483.52
106,484.17
107,484.7
108,485.99
109,487.03
110,488.76
111,490.13
112,492.18
113,494.49
114,497.01
115,499.85
116,502.96
117,505.26
118,507.24
119,508.58
120,510.08
121,511.4
122,512.35
123,513.08
124,513.95
125,514.69
126,515.92
127,516.58
128,517.68
129,518.66
130,519.76
131,520.91
132,522.57
133,524.3
134,524.85
135,525.47
136,525.59
137,526.42
138,526.67
139,526.99
140,526.74
141,526.28
142,525.88
143,524.93
144,524.0
145,523.49
146,523.19
147,522.64
148,522.6
149,521.87
150,520.92
151,520.44
152,519.87
153,519.59
154,518.86
155,517.69
156,516.68
157,515.56
158,514.23
159,512.78
160,511.69
161,510.73
162,509.61
163,508.69
164,508.52
165,508.48
166,508.41
167,507.92
168,507.03
169,506.47
170,505.86
171,505.48
172,505.0
173,504.9
174,504.56
175,504.8
176,505.22
177,505.63
178,506.41
179,507.04
180,507.81
181,508.93
182,510.21
183,511.78
184,513.25
185,514.57
186,515.69
187,516.8
188,518.31
189,519.73
190,520.39
191,521.04
192,521.15
193,521.48
194,521.64
195,522.08
196,522.66
197,523.42
198,523.57
199,523.62
200,523.9
201,524.56
202,524.99
203,524.77
204,525.0
205,524.88
206,524.68
207,524.48
208,524.1
209,523.7
210,523.78
211,523.69
212,523.83
213,523.9
214,523.71
215,522.81
216,522.23
217,521.52
218,521.51
219,522.09
220,523.06
221,523.87
222,524.56
223,524.57
224,525.11
225,525.44
226,525.08
227,523.89
228,522.34
229,520.97
230,518.84
231,516.98
232,515.36
233,513.87
234,511.98
235,509.79
236,507.07
237,505.0
238,502.75
239,500.77
240,499.0
241,497.66
242,496.48
243,495.06
244,493.75
245,492.68
246,491.54
247,489.25
248,486.98
249,484.96
250,482.95
251,481.17
252,479.93
253,479.54
254,479.74
255,479.85
256,479.89
257,479.94
258,480.16
259,479.99
260,479.97
261,480.22
262,480.53
263,480.49
264,480.08
265,479.68
266,479.15
267,478.62
268,478.18
269,477.72
270,477.14
271,475.84
272,474.51
273,474.31
274,474.09
275,473.78
276,473.66
277,473.2
278,472.93
279,472.46
280,471.77
281,470.97
282,470.46
283,470.31
284,469.37
285,468.5
286,467.85
287,467.19
288,467.63
289,468.07
290,469.4
291,470.9
292,472.39
293,474.06
294,475.67
295,477.72
296,479.35
297,480.95
298,482.63
299,483.49
300,484.36
301,485.06
302,485.7
303,486.55
304,486.78
305,487.17
306,487.8
307,488.78
308,489.45
309,489.73
310,490.29
311,491.34
312,492.2
313,492.88
314,492.72
315,492.55
316,491.87
317,490.88
318,489.53
319,488.16
320,486.56
321,484.76
322,483.57
323,482.59
324,481.69
325,481.37
326,481.14
327,480.99
328,480.92
329,480.99
330,481.62
331,481.92
332,481.74
333,481.23
334,481.11
335,481.27
336,481.47
337,481.35
338,480.11
339,479.25
340,478.12
341,477.46
342,476.98
343,476.76
344,476.73
345,476.59
346,476.79
347,476.7
348,476.61
349,476.73
350,476.69
351,476.52
352,476.13
353,475.51
354,474.66
355,473.57
356,471.82
357,469.97
358,469.76
359,469.91
360,470.36
361,470.82
362,471.34
363,472.0
364,473.94
365,475.66
366,477.55
367,478.92
368,479.92
369,480.96
370,482.02
371,483.0
372,483.85
373,484.93
374,486.24
375,487.2
376,488.13
377,489.36
378,490.84
379,492.72
380,494.39
381,495.94
382,497.55
383,499.49
384,500.16
385,500.47
386,500.07
387,499.47
388,498.9
389,498.31
390,497.71
391,496.97
392,495.77
393,494.66
394,493.82
395,492.69
396,491.93
397,491.09
398,490.19
399,489.39
400,488.28
401,487.5
402,486.98
403,486.39
404,485.42
405,484.77
406,484.64
407,484.81
408,485.51
409,485.85
410,486.16
411,486.91
412,487.55
413,488.64
414,489.49
415,490.3
416,491.27
417,492.62
418,494.61
419,496.52
420,498.25
421,500.18
422,502.35
423,504.54
424,506.74
425,508.89
426,510.88
427,512.54
428,513.88
429,515.37
430,517.27
431,518.66
432,519.56
433,520.47
434,521.44
435,522.45
436,523.69
437,524.48
438,525.61
439,526.5
440,527.54
441,528.63
442,529.59
443,530.27
444,530.8
445,531.35
446,531.95
447,532.36
448,532.2
449,532.26
450,532.53
451,532.95
452,533.41
453,533.93
454,534.44
455,535.51
456,536.23
457,537.07
458,538.12
459,538.94
460,539.5
461,540.27
