,0
0,214.56
1,214.91
2,215.05
3,215.24
4,215.46
5,215.89
6,216.54
7,216.94
8,217.21
9,217.47
10,217.53
11,217.6
12,217.79
13,217.87
14,218.0
15,218.26
16,218.47
17,218.27
18,217.7
19,216.34
20,215.35
21,214.07
22,212.62
23,211.45
24,210.62
25,210.05
26,209.52
27,209.09
28,208.76
29,208.53
30,208.13
31,207.73
32,207.33
33,207.19
34,207.39
35,207.49
36,207.72
37,208.06
38,208.38
39,208.76
40,209.14
41,209.43
42,209.8
43,210.34
44,211.13
45,211.94
46,212.44
47,213.01
48,213.73
49,214.39
50,214.78
51,214.64
52,214.51
53,213.83
54,213.72
55,213.8
56,213.74
57,213.52
58,213.15
59,212.91
60,212.05
61,211.25
62,210.16
63,208.91
64,207.74
65,206.54
66,205.8
67,205.12
68,204.65
69,204.1
70,203.59
71,203.06
72,202.88
73,202.49
74,202.06
75,201.72
76,201.6
77,201.77
78,201.79
79,202.33
80,202.29
81,202.01
82,202.08
83,202.17
84,202.09
85,201.54
86,201.06
87,200.72
88,200.86
89,200.7
90,200.46
91,200.48
92,200.27
93,200.23
94,200.28
95,200.42
96,200.45
97,200.47
98,200.06
99,199.93
100,199.8
101,199.52
102,199.14
103,198.81
104,198.63
105,198.24
106,197.92
107,197.65
108,197.48
109,197.24
110,197.53
111,198.06
112,198.96
113,199.73
114,200.42
115,201.31
116,202.08
117,202.73
118,203.42
119,203.98
120,204.01
121,204.19
122,204.78
123,205.4
124,206.02
125,206.44
126,206.88
127,207.27
128,207.61
129,208.11
130,208.58
131,208.97
132,209.4
133,209.68
134,209.64
135,209.63
136,209.38
137,209.26
138,208.77
139,208.35
140,207.88
141,207.37
142,206.99
143,206.49
144,205.99
145,205.59
146,205.39
147,205.28
148,205.04
149,204.43
150,203.92
151,203.37
152,202.67
153,201.99
154,201.25
155,200.14
156,198.95
157,197.78
158,196.47
159,195.14
160,194.02
161,193.0
162,191.9
163,190.83
164,190.18
165,189.62
166,189.02
167,188.45
168,187.77
169,187.06
170,186.29
171,185.69
172,185.0
173,184.24
174,183.5
175,183.0
176,182.54
177,182.35
178,182.25
179,182.3
180,182.72
181,183.38
182,184.27
183,185.16
184,186.16
185,187.03
186,187.63
187,188.27
188,189.12
189,189.89
190,190.22
191,190.92
192,191.67
193,192.56
194,193.64
195,194.84
196,196.1
197,197.11
198,198.03
199,199.0
200,199.95
201,201.01
202,201.94
203,202.67
204,203.68
205,204.56
206,205.13
207,205.5
208,205.51
209,205.55
210,205.65
211,205.96
212,206.74
213,207.36
214,207.89
215,208.14
216,208.63
217,208.6
218,208.61
219,208.61
220,208.43
221,208.26
222,208.08
223,207.86
224,207.93
225,207.83
226,207.66
227,207.62
228,207.61
229,207.94
230,208.0
231,208.16
232,208.33
233,208.71
234,209.24
235,209.82
236,210.21
237,210.66
238,211.03
239,211.45
240,211.86
241,212.5
242,213.18
243,214.2
244,215.1
245,215.99
246,216.98
247,217.88
248,218.79
249,219.72
250,220.6
251,221.46
252,222.31
253,222.89
254,223.58
255,224.04
256,224.45
257,224.65
258,224.72
259,224.62
260,224.52
261,224.47
262,224.49
263,224.5
264,224.35
265,224.15
266,223.98
267,223.95
268,224.05
269,223.75
270,223.5
271,223.13
272,222.58
273,222.02
274,221.6
275,221.12
276,220.61
277,220.14
278,219.71
279,219.51
280,219.17
281,218.91
282,218.61
283,218.46
284,218.34
285,218.44
286,218.53
287,218.69
288,219.05
289,219.33
290,219.65
291,219.94
292,220.22
293,220.4
294,220.44
295,220.8
296,221.25
297,221.77
298,222.43
299,223.13
300,223.73
301,224.41
302,224.99
303,225.46
304,225.84
305,226.11
306,226.59
307,226.97
308,227.2
309,227.36
310,227.56
311,227.88
312,228.26
313,228.56
314,228.64
315,228.79
316,228.93
317,229.21
318,229.38
319,229.55
320,229.79
321,229.83
322,229.75
323,229.42
324,229.01
325,228.67
326,228.32
327,227.87
328,227.43
329,227.33
330,227.38
331,227.31
332,227.15
333,226.89
334,226.76
335,226.68
336,226.72
337,226.42
338,226.1
339,225.85
340,225.77
341,225.6
342,225.44
343,225.27
344,225.24
345,224.99
346,224.75
347,224.55
348,224.67
349,225.16
350,225.76
351,226.38
352,226.91
353,227.47
354,228.13
355,228.66
356,229.18
357,229.81
358,230.38
359,231.1
360,231.77
361,232.46
362,232.97
363,233.58
364,234.24
365,234.72
366,235.03
367,235.34
368,235.66
369,236.02
370,236.41
371,236.84
372,237.28
373,237.7
374,237.97
375,238.04
376,238.11
377,238.16
378,238.22
379,238.48
380,238.56
381,238.53
382,238.36
383,238.18
384,238.06
385,237.95
386,238.02
387,237.96
388,238.09
389,238.29
390,238.48
391,238.79
392,239.13
393,239.67
394,240.06
395,240.4
396,240.7
397,241.09
398,241.43
399,241.76
400,242.02
401,242.12
402,242.19
403,242.36
404,242.5
405,242.46
406,242.34
407,242.18
408,242.02
409,241.7
410,241.31
411,240.97
412,240.5
413,240.19
414,239.66
415,239.18
416,238.72
417,238.29
418,237.86
419,237.42
420,237.05
421,236.69
422,236.33
423,236.05
424,235.82
425,235.45
426,234.91
427,234.6
428,234.23
429,233.85
